subject,neuron,region_clean,TC_coding
YFR,26,AMY,0
YFR,27,AMY,0
YFR,28,AMY,1
YFR,29,AMY,0
YFR,30,AMY,0
YFR,31,AMY,0
YFR,32,AMY,1
YFR,33,AMY,0
YFR,34,AMY,1
YFR,35,AMY,0
YFR,36,AMY,1
YFR,37,AMY,0
YFR,38,AMY,0
YFR,39,AMY,0
YFR,40,AMY,0
YFR,46,AMY,0
YFR,47,AMY,0
YFR,48,AMY,0
YFR,49,AMY,0
YFR,50,AMY,0
YFR,51,AMY,0
YFR,52,AMY,0
YFR,53,AMY,1
YFR,54,HPC,0
YFR,55,HPC,0
YFR,56,HPC,0
YFR,57,HPC,0
YFR,58,HPC,0
YFR,59,HPC,0
YFR,60,HPC,0
YFR,61,HPC,0
YFR,62,HPC,1
YFR,63,HPC,0
YFR,64,HPC,1
YFR,65,HPC,1
YFR,66,HPC,0
YFR,67,HPC,1
YFR,68,HPC,0
YFR,69,HPC,0
YFR,70,HPC,0
YFS,27,AMY,1
YFS,28,AMY,0
YFS,29,AMY,0
YFS,30,AMY,0
YFS,31,AMY,0
YFS,32,AMY,0
YFS,33,AMY,0
YFS,34,AMY,1
YFS,35,AMY,0
YFS,36,AMY,0
YFS,37,AMY,1
YFS,38,HPC,0
YFS,39,HPC,1
YFS,40,HPC,0
YFS,41,HPC,0
YFS,42,HPC,0
YFS,43,HPC,0
YFS,44,HPC,0
YFS,45,HPC,1
YFS,46,HPC,1
YFS,47,HPC,1
YFS,48,HPC,0
YFS,49,HPC,1
YFS,50,HPC,1
YFS,51,HPC,0
YFS,52,HPC,0
YFS,53,HPC,1
YFS,54,HPC,1
YFS,55,HPC,1
YFS,56,HPC,1
YFS,57,HPC,0
YFS,58,HPC,1
YFS,59,HPC,1
YFS,60,HPC,0
YFS,61,HPC,0
YFS,62,HPC,0
YFS,63,HPC,0
YFS,75,HPC,1
YFS,76,HPC,0
YFS,77,HPC,0
YFS,78,HPC,0
YFS,79,HPC,0
YFS,80,HPC,0
YFS,81,HPC,1
YFS,82,HPC,0
YFS,83,HPC,0
YFS,84,HPC,0
YFS,85,HPC,0
YFS,86,AMY,0
YFS,87,AMY,0
YFS,88,AMY,0
YFS,89,AMY,0
YFS,90,AMY,0
YFS,91,AMY,0
YFS,92,AMY,0
YFS,93,AMY,1
YFS,94,AMY,0
YFS,95,AMY,1
YFS,96,AMY,1
YFT,10,ENT,1
YFT,11,ENT,0
YFT,12,ENT,0
YFT,13,ENT,1
YFT,14,ENT,1
YFT,15,ENT,0
YFT,16,ENT,0
YFT,17,ENT,0
YFT,18,HPC,0
YFT,19,HPC,0
YFT,20,HPC,0
YFT,21,HPC,0
YFT,22,HPC,1
YFT,23,HPC,0
YFT,24,HPC,0
YFT,25,HPC,1
YFT,26,HPC,0
YFT,27,HPC,0
YFT,28,HPC,1
YFT,29,HPC,0
YFT,30,HPC,0
YFT,31,HPC,0
YFT,32,HPC,0
YFT,33,AMY,1
YFT,34,AMY,0
YFT,35,AMY,0
YFT,36,AMY,0
YFT,37,AMY,0
YFT,38,AMY,0
YFT,39,AMY,0
YFT,40,AMY,0
YFT,41,HPC,0
YFT,42,HPC,0
YFT,43,HPC,0
YFT,44,HPC,0
YFT,45,HPC,0
YFT,46,HPC,0
YFT,47,HPC,1
YFT,48,HPC,1
YFT,49,HPC,0
YFT,50,HPC,1
YFT,51,HPC,1
YFT,52,HPC,0
YFT,70,ENT,0
YFT,71,ENT,0
YFT,72,ENT,0
YFT,73,ENT,0
YFT,74,ENT,0
YFT,75,ENT,1
YFT,76,ENT,0
YFT,77,ENT,0
YFT,78,ENT,1
YFU,1,AMY,0
YFU,2,AMY,0
YFU,3,AMY,0
YFU,4,AMY,0
YFU,5,AMY,0
YFU,6,AMY,0
YFU,7,AMY,0
YFU,8,AMY,0
YFU,9,AMY,0
YFU,10,AMY,0
YFU,11,AMY,0
YFU,12,AMY,0
YFU,21,HPC,0
YFU,22,HPC,1
YFU,23,HPC,1
YFU,24,HPC,1
YFU,25,HPC,1
YFU,26,HPC,1
YFU,27,HPC,0
YFU,28,HPC,0
YFU,29,HPC,0
YFU,30,HPC,1
YFU,31,HPC,1
YFU,32,HPC,1
YFU,33,HPC,1
YFU,34,HPC,1
YFU,35,HPC,0
YFU,36,HPC,0
YFU,37,HPC,0
YFU,38,HPC,0
YFU,39,HPC,1
YFU,40,HPC,1
YFU,41,HPC,1
YFU,42,HPC,0
YFU,43,HPC,1
YFU,44,AMY,1
YFU,45,AMY,0
YFU,46,AMY,0
YFU,47,AMY,0
YFU,48,AMY,0
YFU,49,AMY,0
YFU,50,AMY,0
YFU,51,AMY,0
YFU,52,AMY,0
YFU,53,AMY,1
YFU,54,AMY,1
YFU,55,HPC,0
YFU,56,HPC,1
YFU,57,HPC,1
YFU,58,HPC,1
YFU,59,HPC,0
YFU,60,HPC,0
YFU,61,HPC,0
YFU,62,HPC,1
YFU,63,HPC,1
YFU,64,HPC,0
YFU,65,HPC,0
YFU,66,HPC,1
YFU,67,HPC,0
YFU,68,HPC,0
YFU,69,HPC,1
YFU,70,HPC,1
