subject,neuron,region,mean_firing_rate_hz,n_presentations,min_class_count,n_splits,FR_accuracy,TC_accuracy,best_bin_ms,best_gamma,status
YFR,20,hpc,0.860484544695071,266.0,20.0,10.0,0.15413533834586465,0.15413533834586465,900.0,0.2,success
YFR,21,hpc,5.643274853801169,266.0,20.0,10.0,0.13533834586466165,0.18421052631578946,90.0,0.8,success
YFR,22,hpc,0.6975772765246449,266.0,20.0,10.0,0.09398496240601503,0.15037593984962405,90.0,0.2,success
YFR,23,hpc,8.947368421052632,266.0,20.0,10.0,0.14285714285714285,0.16165413533834586,150.0,0.2,success
YFR,24,hpc,0.22974101921470344,266.0,20.0,10.0,0.11278195488721804,0.12781954887218044,100.0,0.2,success
YFR,25,amy,3.717627401837928,266.0,20.0,10.0,0.09398496240601503,0.11654135338345864,90.0,0.8,success
YFR,26,amy,1.1779448621553883,266.0,20.0,10.0,0.10526315789473684,0.13157894736842105,225.0,0.5,success
YFR,27,amy,0.6432748538011696,266.0,20.0,10.0,0.09774436090225563,0.14661654135338345,90.0,0.8,success
YFR,28,amy,9.005847953216374,266.0,20.0,10.0,0.07894736842105263,0.15037593984962405,180.0,0.8,success
YFR,29,amy,1.3032581453634084,266.0,20.0,10.0,0.08270676691729323,0.13157894736842105,100.0,0.8,success
YFR,30,amy,0.5096073517126148,266.0,20.0,10.0,0.10150375939849623,0.12406015037593984,300.0,0.2,success
YFR,31,amy,1.6123642439431911,266.0,20.0,10.0,0.12406015037593984,0.13157894736842105,225.0,0.5,success
YFR,32,amy,9.807852965747703,266.0,20.0,10.0,0.13533834586466165,0.16165413533834586,150.0,0.8,success
YFR,33,amy,0.3007518796992481,266.0,20.0,10.0,0.11278195488721804,0.13909774436090225,300.0,0.8,success
YFR,34,amy,13.312447786131997,266.0,20.0,10.0,0.08646616541353383,0.18045112781954886,60.0,0.2,success
YFR,35,amy,0.5054302422723476,266.0,20.0,10.0,0.07894736842105263,0.10902255639097744,225.0,0.5,success
YFR,36,amy,1.6374269005847952,266.0,20.0,10.0,0.14285714285714285,0.17293233082706766,450.0,0.2,success
YFR,37,amy,1.0651629072681703,266.0,20.0,10.0,0.11278195488721804,0.14661654135338345,60.0,0.8,success
YFR,38,amy,15.229741019214703,266.0,20.0,10.0,0.10150375939849623,0.12030075187969924,75.0,0.2,success
YFR,39,amy,0.20885547201336677,266.0,20.0,10.0,0.09022556390977443,0.11278195488721804,90.0,0.2,success
YFR,40,amy,0.28822055137844615,266.0,20.0,10.0,0.08646616541353383,0.11278195488721804,450.0,0.2,success
YFR,46,amy,0.8187134502923977,266.0,20.0,10.0,0.11654135338345864,0.14285714285714285,225.0,0.5,success
YFR,47,amy,0.5304928989139515,266.0,20.0,10.0,0.13533834586466165,0.15037593984962405,450.0,0.2,success
YFR,48,amy,0.5430242272347536,266.0,20.0,10.0,0.08646616541353383,0.13157894736842105,225.0,0.5,success
YFR,49,amy,0.49289891395154556,266.0,20.0,10.0,0.11654135338345864,0.13157894736842105,225.0,0.2,success
YFR,50,amy,0.5179615705931495,266.0,20.0,10.0,0.12406015037593984,0.12406015037593984,900.0,0.2,success
YFR,51,amy,0.4970760233918129,266.0,20.0,10.0,0.07518796992481203,0.14285714285714285,180.0,0.5,success
YFR,52,amy,0.5054302422723476,266.0,20.0,10.0,0.10526315789473684,0.14661654135338345,75.0,0.8,success
YFR,53,amy,0.5012531328320803,266.0,20.0,10.0,0.10150375939849623,0.15413533834586465,180.0,0.2,success
YFR,54,hpc,0.6975772765246449,266.0,20.0,10.0,0.08270676691729323,0.12406015037593984,225.0,0.8,success
YFR,55,hpc,0.7017543859649122,266.0,20.0,10.0,0.08646616541353383,0.11654135338345864,300.0,0.8,success
YFR,56,hpc,1.5873015873015872,266.0,20.0,10.0,0.10902255639097744,0.12406015037593984,150.0,0.8,success
YFR,57,hpc,0.6432748538011696,266.0,20.0,10.0,0.12030075187969924,0.13533834586466165,75.0,0.8,success
YFR,58,hpc,0.9189640768588138,266.0,20.0,10.0,0.12781954887218044,0.13533834586466165,450.0,0.5,success
YFR,59,hpc,1.6666666666666663,266.0,20.0,10.0,0.09398496240601503,0.13157894736842105,60.0,0.2,success
YFR,60,hpc,0.6015037593984962,266.0,20.0,10.0,0.09398496240601503,0.12781954887218044,150.0,0.8,success
YFR,61,hpc,0.9189640768588138,266.0,20.0,10.0,0.09774436090225563,0.13533834586466165,450.0,0.2,success
YFR,62,hpc,7.130325814536341,266.0,20.0,10.0,0.13533834586466165,0.15413533834586465,90.0,0.2,success
YFR,63,hpc,1.5789473684210527,266.0,20.0,10.0,0.10902255639097744,0.14285714285714285,225.0,0.8,success
YFR,64,hpc,3.4252297410192147,266.0,20.0,10.0,0.07894736842105263,0.14285714285714285,225.0,0.2,success
YFR,65,hpc,2.3182957393483705,266.0,20.0,10.0,0.10526315789473684,0.18045112781954886,60.0,0.2,success
YFR,66,hpc,1.4118629908103593,266.0,20.0,10.0,0.12030075187969924,0.12030075187969924,75.0,0.5,success
YFR,67,hpc,1.3533834586466165,266.0,20.0,10.0,0.10526315789473684,0.16541353383458646,150.0,0.8,success
YFR,68,hpc,2.560568086883876,266.0,20.0,10.0,0.12030075187969924,0.12781954887218044,450.0,0.5,success
YFR,69,hpc,8.947368421052632,266.0,20.0,10.0,0.07518796992481203,0.11278195488721804,180.0,0.2,success
YFR,70,hpc,1.3951545530492897,266.0,20.0,10.0,0.06390977443609022,0.11654135338345864,60.0,0.8,success
