subject,neuron,region,mean_firing_rate_hz,n_presentations,min_class_count,n_splits,FR_accuracy,TC_accuracy,best_bin_ms,best_gamma,status,error
YFS,81,hpc,16.165824915824913,264.0,24.0,10.0,0.125,0.1553030303030303,300.0,0.8,success,
YFS,82,hpc,0.1178451178451178,264.0,24.0,10.0,0.106060606060606,0.1098484848484848,60.0,0.2,success,
YFS,83,hpc,18.04713804713805,264.0,24.0,10.0,0.1212121212121212,0.1363636363636363,75.0,0.2,success,
YFS,84,hpc,0.0841750841750841,264.0,24.0,10.0,0.0984848484848484,0.1136363636363636,75.0,0.2,success,
YFS,85,hpc,9.364478114478112,264.0,24.0,10.0,0.1287878787878787,0.1325757575757575,450.0,0.2,success,
YFS,86,amy,1.035353535353535,264.0,24.0,10.0,0.1174242424242424,0.1477272727272727,90.0,0.8,success,
YFS,87,amy,7.988215488215488,264.0,24.0,10.0,0.1325757575757575,0.1325757575757575,900.0,0.2,success,
YFS,88,amy,8.56060606060606,264.0,24.0,10.0,0.0833333333333333,0.1363636363636363,180.0,0.8,success,
YFS,89,amy,19.22979797979798,264.0,24.0,10.0,0.0606060606060606,0.1287878787878787,90.0,0.2,success,
YFS,90,amy,0.5555555555555555,264.0,24.0,10.0,0.0871212121212121,0.1212121212121212,75.0,0.5,success,
YFS,91,amy,19.684343434343432,264.0,24.0,10.0,0.106060606060606,0.1401515151515151,150.0,0.8,success,
YFS,92,amy,0.1430976430976431,264.0,24.0,10.0,0.1022727272727272,0.1098484848484848,180.0,0.2,success,
YFS,93,amy,0.3156565656565657,264.0,24.0,10.0,0.1325757575757575,0.1515151515151515,300.0,0.5,success,
YFS,94,amy,1.599326599326599,264.0,24.0,10.0,0.1212121212121212,0.1439393939393939,150.0,0.8,success,
YFS,95,amy,1.9654882154882152,264.0,24.0,10.0,0.1553030303030303,0.1742424242424242,300.0,0.2,success,
YFS,96,amy,1.6666666666666667,264.0,24.0,10.0,0.1098484848484848,0.1553030303030303,225.0,0.2,success,
