subject,neuron,best_bin_ms,best_gamma,overall_accuracy,preferred_number,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9
YFJ,62,150,0.2,0.17543859649122806,1,0.3157894736842105,0.17647058823529413,0.14285714285714285,0.0,0.07142857142857142,0.1875,0.2,0.16666666666666666,0.125
YFK,25,60,0.2,0.20175438596491227,4,0.15789473684210525,0.4117647058823529,0.21428571428571427,0.5,0.2857142857142857,0.0625,0.2,0.0,0.125
YFK,27,225,0.8,0.2807017543859649,2,0.05263157894736842,0.6470588235294118,0.35714285714285715,0.0,0.2857142857142857,0.0625,0.4,0.16666666666666666,0.5
YFK,29,900,0.2,0.16666666666666666,2,0.10526315789473684,0.47058823529411764,0.0,0.0,0.2857142857142857,0.125,0.1,0.16666666666666666,0.0
YFK,30,180,0.2,0.19298245614035087,5,0.2631578947368421,0.23529411764705882,0.07142857142857142,0.0,0.35714285714285715,0.0625,0.3,0.08333333333333333,0.25
YFK,31,60,0.2,0.21052631578947367,2,0.3157894736842105,0.35294117647058826,0.07142857142857142,0.25,0.07142857142857142,0.125,0.3,0.25,0.125
YFK,32,300,0.8,0.15789473684210525,8,0.21052631578947367,0.0,0.0,0.0,0.2857142857142857,0.1875,0.3,0.3333333333333333,0.0
YFK,37,150,0.2,0.18421052631578946,8,0.2631578947368421,0.17647058823529413,0.07142857142857142,0.0,0.14285714285714285,0.1875,0.0,0.5,0.125
YFK,40,60,0.2,0.19298245614035087,9,0.15789473684210525,0.058823529411764705,0.07142857142857142,0.25,0.35714285714285715,0.25,0.1,0.25,0.375
YFK,43,75,0.8,0.22807017543859648,2,0.0,0.4117647058823529,0.21428571428571427,0.25,0.0,0.3125,0.4,0.3333333333333333,0.25
YFK,44,300,0.2,0.20175438596491227,1,0.7368421052631579,0.0,0.0,0.0,0.21428571428571427,0.0,0.3,0.08333333333333333,0.25
