subject,neuron_id,region,best_bin_ms,n_temporal_bins,best_gamma,n_folds,observed_accuracy,mean_shuffle_accuracy,n_shuffles_ge_observed,p_value,number_coding,runtime_sec
YFJ,27,hpc,75,12,0.8,4,0.14912280701754385,0.11416666666666664,35,0.1791044776119403,False,3.0018973350524902
YFJ,28,hpc,300,3,0.5,4,0.15789473684210525,0.10912280701754387,11,0.05970149253731343,False,2.318321466445923
YFJ,37,hpc,90,10,0.5,4,0.19298245614035087,0.11192982456140349,0,0.004975124378109453,True,2.835695266723633
YFJ,38,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.3557884693145752
YFJ,39,hpc,900,1,0.2,4,0.15789473684210525,0.10364035087719298,14,0.07462686567164178,False,2.078005313873291
YFJ,40,hpc,60,15,0.2,4,0.17543859649122806,0.11504385964912281,12,0.06467661691542288,False,3.4927940368652344
YFJ,41,hpc,100,9,0.5,4,0.16666666666666666,0.11162280701754385,14,0.07462686567164178,False,3.139725685119629
YFJ,42,hpc,300,3,0.5,4,0.14035087719298245,0.10482456140350876,36,0.18407960199004975,False,2.457045555114746
YFJ,43,hpc,180,5,0.8,4,0.14912280701754385,0.10679824561403509,26,0.13432835820895522,False,2.8681118488311768
YFJ,44,hpc,225,4,0.8,4,0.19298245614035087,0.11061403508771928,2,0.014925373134328358,True,2.7245991230010986
YFJ,45,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.4229867458343506
YFJ,46,hpc,300,3,0.2,4,0.17543859649122806,0.10925438596491226,9,0.04975124378109453,True,2.2668511867523193
YFJ,47,hpc,450,2,0.5,4,0.11403508771929824,0.10517543859649121,74,0.373134328358209,False,2.2290122509002686
YFJ,48,hpc,225,4,0.2,4,0.16666666666666666,0.1075,18,0.0945273631840796,False,2.3674001693725586
YFJ,49,hpc,450,2,0.8,4,0.14912280701754385,0.10969298245614034,27,0.13930348258706468,False,2.165769577026367
YFJ,50,hpc,900,1,0.2,4,0.05263157894736842,,139,0.6965174129353234,False,1.4778132438659668
YFJ,51,hpc,900,1,0.2,4,0.12280701754385964,,68,0.34328358208955223,False,1.9962730407714844
YFJ,52,hpc,225,4,0.5,4,0.16666666666666666,0.10846491228070175,10,0.05472636815920398,False,2.3168087005615234
YFJ,53,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.3171417713165283
YFJ,54,hpc,75,12,0.8,4,0.14035087719298245,0.11486842105263158,53,0.26865671641791045,False,3.085411787033081
YFJ,55,hpc,90,10,0.2,4,0.15789473684210525,0.11315789473684211,24,0.12437810945273632,False,2.936264753341675
YFJ,56,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.337127685546875
YFJ,57,hpc,150,6,0.5,4,0.21929824561403508,0.1099561403508772,0,0.004975124378109453,True,2.4831502437591553
YFJ,58,hpc,150,6,0.2,4,0.16666666666666666,,4,0.024875621890547265,True,1.1185383796691895
YFJ,59,hpc,150,6,0.5,4,0.11403508771929824,0.11078947368421051,105,0.527363184079602,False,2.669119119644165
YFJ,60,hpc,60,15,0.8,4,0.17543859649122806,0.11578947368421051,8,0.04477611940298507,True,3.097405433654785
YFJ,61,hpc,450,2,0.2,4,0.17543859649122806,,4,0.024875621890547265,True,1.7204480171203613
YFK,24,hpc,150,6,0.2,4,0.21052631578947367,,0,0.004975124378109453,True,2.3384742736816406
YFK,25,hpc,300,3,0.2,4,0.11403508771929824,,78,0.39303482587064675,False,2.2414026260375977
YFK,26,hpc,100,9,0.8,4,0.16666666666666666,0.11017543859649123,10,0.05472636815920398,False,2.6472034454345703
YFK,27,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.27216196060180664
YFK,28,hpc,225,4,0.5,4,0.14035087719298245,,37,0.1890547263681592,False,2.2199454307556152
YFK,29,hpc,150,6,0.2,4,0.18421052631578946,,3,0.01990049751243781,True,2.0993618965148926
YFK,30,hpc,90,10,0.2,4,0.17543859649122806,0.11052631578947367,6,0.03482587064676617,True,2.8205995559692383
YFK,31,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.3333761692047119
YFK,32,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.3518807888031006
YFK,33,hpc,900,1,0.2,4,0.12280701754385964,,49,0.24875621890547264,False,1.9532458782196045
YFK,34,para-hpc,60,15,0.5,4,0.11403508771929824,0.11789473684210526,113,0.5671641791044776,False,3.1009044647216797
YFK,35,para-hpc,300,3,0.2,4,0.15789473684210525,,20,0.1044776119402985,False,2.175781011581421
YFK,36,para-hpc,450,2,0.2,4,0.16666666666666666,0.10407894736842106,8,0.04477611940298507,True,2.182452440261841
YFK,37,para-hpc,100,9,0.5,4,0.17543859649122806,0.11228070175438595,12,0.06467661691542288,False,2.6867504119873047
YFK,38,para-hpc,225,4,0.5,4,0.19298245614035087,,3,0.01990049751243781,True,2.2292964458465576
YFK,39,para-hpc,90,10,0.2,4,0.19298245614035087,,1,0.009950248756218905,True,1.986736536026001
YFK,40,para-hpc,75,12,0.5,4,0.11403508771929824,0.11407894736842104,103,0.5174129353233831,False,2.8913426399230957
YFK,41,para-hpc,300,3,0.5,4,0.14035087719298245,,31,0.15920398009950248,False,1.8077683448791504
YFK,42,para-hpc,75,12,0.2,4,0.19298245614035087,0.11083333333333333,3,0.01990049751243781,True,2.990266799926758
YFK,43,para-hpc,300,3,0.8,4,0.18421052631578946,,0,0.004975124378109453,True,1.8506779670715332
YFK,44,para-hpc,225,4,0.5,4,0.11403508771929824,0.10925438596491226,95,0.47761194029850745,False,2.3524169921875
YFK,45,para-hpc,75,12,0.2,4,0.14912280701754385,0.11114035087719298,32,0.16417910447761194,False,3.012540578842163
YFK,46,para-hpc,60,15,0.2,4,0.15789473684210525,,20,0.1044776119402985,False,2.8016090393066406
YFK,47,hpc,150,6,0.2,4,0.18421052631578946,0.11175438596491226,4,0.024875621890547265,True,2.537229061126709
YFK,48,hpc,225,4,0.2,4,0.14035087719298245,,15,0.07960199004975124,False,1.237175464630127
YFK,49,hpc,225,4,0.5,4,0.14035087719298245,0.1056578947368421,38,0.19402985074626866,False,2.323945999145508
YFK,50,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.3643605709075928
YFK,51,hpc,225,4,0.8,4,0.16666666666666666,,5,0.029850746268656716,True,1.7284972667694092
YFK,52,hpc,100,9,0.2,4,0.16666666666666666,,9,0.04975124378109453,True,2.2009198665618896
YFK,53,hpc,225,4,0.8,4,0.14035087719298245,,24,0.12437810945273632,False,2.1162571907043457
YFK,54,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.3229556083679199
YFK,55,hpc,300,3,0.8,4,0.15789473684210525,0.10074561403508771,9,0.04975124378109453,True,2.2464358806610107
YFK,56,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.2892942428588867
YFK,57,hpc,450,2,0.5,4,0.16666666666666666,,7,0.03980099502487562,True,2.085254192352295
YFK,58,hpc,180,5,0.2,4,0.16666666666666666,0.11210526315789472,17,0.08955223880597014,False,2.6117331981658936
YFK,59,hpc,450,2,0.5,4,0.14912280701754385,,18,0.0945273631840796,False,1.6917827129364014
YFK,60,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.31376171112060547
YFK,61,hpc,75,12,0.5,4,0.17543859649122806,0.11412280701754383,9,0.04975124378109453,True,2.9881560802459717
YFK,62,hpc,180,5,0.2,4,0.13157894736842105,,39,0.19900497512437812,False,1.9135470390319824
YFK,63,para-hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.2911722660064697
YFK,64,para-hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.3782773017883301
YFK,65,para-hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.33046507835388184
YFK,66,para-hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.32428789138793945
YFK,67,para-hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.3464200496673584
YFL,19,hpc,900,1,0.2,4,0.14035087719298245,,8,0.04477611940298507,True,0.9893462657928467
YFL,20,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.2824215888977051
YFL,21,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.2835357189178467
YFL,22,hpc,225,4,0.8,4,0.16666666666666666,,4,0.024875621890547265,True,1.7026724815368652
YFL,23,hpc,900,1,0.5,4,0.15789473684210525,,7,0.03980099502487562,True,1.2915582656860352
YFL,24,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.3030102252960205
YFL,25,hpc,90,10,0.8,4,0.17543859649122806,0.11293859649122805,11,0.05970149253731343,False,2.732269048690796
YFL,26,hpc,100,9,0.2,4,0.17543859649122806,,4,0.024875621890547265,True,2.1614787578582764
YFL,27,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.28353238105773926
YFL,28,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.33431291580200195
YFL,29,hpc,225,4,0.2,4,0.17543859649122806,0.10662280701754387,9,0.04975124378109453,True,2.3393826484680176
YFL,30,hpc,450,2,0.5,4,0.16666666666666666,,6,0.03482587064676617,True,2.168933868408203
YFL,31,hpc,450,2,0.2,4,0.15789473684210525,,2,0.014925373134328358,True,1.1323580741882324
YFL,32,hpc,450,2,0.2,4,0.14912280701754385,,3,0.01990049751243781,True,0.813896656036377
YFL,33,hpc,90,10,0.5,4,0.18421052631578946,,3,0.01990049751243781,True,2.579120397567749
YFL,34,hpc,900,1,0.2,4,0.08771929824561403,,118,0.5920398009950248,False,1.7503209114074707
YFL,35,hpc,300,3,0.5,4,0.14912280701754385,,22,0.11442786069651742,False,2.0235745906829834
YFL,36,hpc,75,12,0.2,4,0.12280701754385964,0.11609649122807017,91,0.4577114427860697,False,3.00362491607666
YFL,37,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.3949151039123535
YFL,38,hpc,75,12,0.2,4,0.14035087719298245,,49,0.24875621890547264,False,2.559095621109009
YFL,39,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.39339518547058105
YFL,58,hpc,300,3,0.5,4,0.16666666666666666,0.10425438596491227,11,0.05970149253731343,False,2.234037399291992
YFL,59,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.304567813873291
YFL,60,hpc,60,15,0.2,4,0.11403508771929824,,55,0.27860696517412936,False,1.861320972442627
YFL,61,hpc,225,4,0.8,4,0.14035087719298245,0.10583333333333333,31,0.15920398009950248,False,2.323598623275757
YFL,62,hpc,60,15,0.2,4,0.14035087719298245,,45,0.22885572139303484,False,2.5522096157073975
YFL,63,hpc,60,15,0.2,4,0.13157894736842105,,1,0.009950248756218905,True,0.8168377876281738
YFL,64,hpc,150,6,0.2,4,0.14912280701754385,0.11359649122807017,39,0.19900497512437812,False,2.485914468765259
YFL,65,hpc,900,1,0.2,4,0.10526315789473684,,45,0.22885572139303484,False,1.060187578201294
YFL,66,hpc,450,2,0.5,4,0.18421052631578946,,2,0.014925373134328358,True,1.9558169841766357
YFL,67,hpc,450,2,0.5,4,0.06140350877192982,,82,0.4129353233830846,False,1.2550737857818604
YFL,68,hpc,60,15,0.2,4,0.14912280701754385,0.11609649122807017,43,0.21890547263681592,False,3.1841495037078857
YFL,69,hpc,150,6,0.2,4,0.09649122807017543,,26,0.13432835820895522,False,0.9487931728363037
YFL,70,hpc,300,3,0.8,4,0.17543859649122806,0.10780701754385964,8,0.04477611940298507,True,2.2606966495513916
YFL,71,hpc,60,15,0.5,4,0.17543859649122806,,6,0.03482587064676617,True,2.6843326091766357
YFL,72,hpc,60,15,0.5,4,0.15789473684210525,0.11083333333333333,13,0.06965174129353234,False,3.0450713634490967
YFL,73,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.5541408061981201
YFL,74,hpc,60,15,0.5,4,0.13157894736842105,,61,0.30845771144278605,False,2.811569929122925
YFL,75,hpc,60,15,0.8,4,0.16666666666666666,0.10978070175438596,13,0.06965174129353234,False,3.173837661743164
YFL,76,hpc,60,15,0.2,4,0.14035087719298245,,34,0.17412935323383086,False,2.2834222316741943
YFL,77,hpc,100,9,0.5,4,0.18421052631578946,,4,0.024875621890547265,True,2.6146860122680664
YFL,78,hpc,90,10,0.8,4,0.14912280701754385,,17,0.08955223880597014,False,2.2766757011413574
YFL,79,ent,450,2,0.5,4,0.14035087719298245,,23,0.11940298507462686,False,1.7910161018371582
YFL,80,ent,150,6,0.5,4,0.14035087719298245,0.10899122807017543,36,0.18407960199004975,False,2.576383590698242
YFL,81,ent,60,15,0.2,4,,,0,0.004975124378109453,True,0.30533313751220703
YFL,82,ent,900,1,0.2,4,0.16666666666666666,0.10903508771929825,11,0.05970149253731343,False,2.021799087524414
YFL,83,ent,90,10,0.8,4,0.14912280701754385,0.11692982456140351,40,0.20398009950248755,False,2.8062949180603027
YFL,84,ent,450,2,0.2,4,0.15789473684210525,0.105,14,0.07462686567164178,False,2.1731717586517334
YFL,85,ent,300,3,0.2,4,0.14912280701754385,,10,0.05472636815920398,False,1.7322518825531006
YFL,86,ent,100,9,0.8,4,0.15789473684210525,,17,0.08955223880597014,False,2.478768825531006
YFL,87,ent,450,2,0.8,4,0.14035087719298245,,26,0.13432835820895522,False,2.1512861251831055
YFL,88,ent,900,1,0.2,4,0.09649122807017543,,29,0.14925373134328357,False,0.9451644420623779
YFL,89,ent,900,1,0.2,4,0.13157894736842105,,36,0.18407960199004975,False,1.9859790802001953
YFL,90,ent,300,3,0.5,4,0.14912280701754385,0.10530701754385964,18,0.0945273631840796,False,2.2715210914611816
YFL,91,ent,450,2,0.2,4,0.11403508771929824,0.09820175438596492,79,0.39800995024875624,False,2.2716550827026367
YFL,92,ent,75,12,0.5,4,0.20175438596491227,0.11223684210526315,2,0.014925373134328358,True,2.9027600288391113
YFL,93,ent,60,15,0.2,4,0.18421052631578946,0.11004385964912279,3,0.01990049751243781,True,3.1239013671875
YFM,15,hpc,180,5,0.8,4,0.14035087719298245,0.10706140350877191,38,0.19402985074626866,False,2.284055471420288
YFM,16,hpc,90,10,0.2,4,0.14912280701754385,,19,0.09950248756218906,False,1.7277662754058838
YFM,17,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.36105966567993164
YFM,18,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.32393360137939453
YFM,19,hpc,300,3,0.5,4,0.12280701754385964,0.10425438596491228,65,0.3283582089552239,False,2.1939659118652344
YFM,20,hpc,75,12,0.2,4,0.14035087719298245,,33,0.1691542288557214,False,2.632420778274536
YFM,21,hpc,900,1,0.2,4,0.07894736842105263,,93,0.46766169154228854,False,1.2876434326171875
YFM,22,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.3135530948638916
YFM,23,hpc,75,12,0.8,4,0.16666666666666666,0.11109649122807017,13,0.06965174129353234,False,2.8760783672332764
YFM,24,hpc,225,4,0.2,4,0.07894736842105263,,71,0.3582089552238806,False,1.3265032768249512
YFM,25,hpc,150,6,0.2,4,0.13157894736842105,,55,0.27860696517412936,False,2.202192544937134
YFM,33,ent,75,12,0.2,4,0.18421052631578946,,5,0.029850746268656716,True,2.634436845779419
YFM,34,ent,60,15,0.2,4,,,0,0.004975124378109453,True,0.40047550201416016
YFM,35,ent,900,1,0.2,4,0.14912280701754385,,5,0.029850746268656716,True,1.0544722080230713
YFM,36,ent,90,10,0.8,4,0.15789473684210525,0.11289473684210527,26,0.13432835820895522,False,2.8733654022216797
YFM,37,ent,450,2,0.5,4,0.16666666666666666,0.10539473684210524,4,0.024875621890547265,True,2.1363635063171387
YFM,38,ent,75,12,0.5,4,0.18421052631578946,0.10991228070175438,5,0.029850746268656716,True,3.0008199214935303
YFM,39,ent,75,12,0.5,4,0.13157894736842105,0.11328947368421051,58,0.2935323383084577,False,2.9476749897003174
YFM,40,ent,180,5,0.2,4,0.21052631578947367,0.10561403508771929,0,0.004975124378109453,True,2.3875553607940674
YFM,41,ent,225,4,0.5,4,0.13157894736842105,0.10907894736842104,55,0.27860696517412936,False,2.2093796730041504
YFM,42,ent,60,15,0.2,4,,,0,0.004975124378109453,True,0.31945252418518066
YFM,43,ent,90,10,0.8,4,0.18421052631578946,0.11276315789473684,7,0.03980099502487562,True,2.793790578842163
YFM,44,ent,75,12,0.5,4,0.11403508771929824,,114,0.572139303482587,False,2.5533735752105713
YFM,45,ent,60,15,0.5,4,0.13157894736842105,0.11122807017543859,56,0.2835820895522388,False,2.9423115253448486
YFM,46,ent,60,15,0.2,4,,,0,0.004975124378109453,True,0.31625890731811523
YFM,47,ent,450,2,0.5,4,0.14035087719298245,,23,0.11940298507462686,False,1.907968282699585
YFM,48,ent,150,6,0.8,4,0.16666666666666666,,16,0.0845771144278607,False,2.5326366424560547
YFM,49,ent,300,3,0.5,4,0.13157894736842105,0.10434210526315787,41,0.208955223880597,False,2.2730579376220703
YFM,61,hpc,150,6,0.2,4,0.14035087719298245,,31,0.15920398009950248,False,2.095358371734619
YFM,62,hpc,90,10,0.5,4,0.13157894736842105,0.11315789473684208,69,0.3482587064676617,False,2.764425277709961
YFM,63,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.2875514030456543
