subject,neuron_id,region,best_bin_ms,n_temporal_bins,best_gamma,n_folds,observed_accuracy,mean_shuffle_accuracy,n_shuffles_ge_observed,p_value,number_coding,runtime_sec
YFI,1,hpc,60.0,15.0,0.2,8.0,0.17475728155339806,0.11048543689320386,10.0,0.05472636815920398,False,4.20965051651001
YFI,2,hpc,450.0,2.0,0.8,8.0,0.13592233009708737,0.10980582524271842,55.0,0.27860696517412936,False,3.931521415710449
YFI,3,hpc,900.0,1.0,0.2,8.0,0.1650485436893204,0.10747572815533978,18.0,0.0945273631840796,False,3.8320086002349854
YFI,4,hpc,180.0,5.0,0.8,8.0,0.14563106796116504,0.10645631067961162,35.0,0.1791044776119403,False,3.9030561447143555
YFI,5,hpc,60.0,15.0,0.5,8.0,0.1553398058252427,0.11601941747572812,33.0,0.1691542288557214,False,4.173780202865601
YFI,6,hpc,90.0,10.0,0.5,8.0,0.13592233009708737,0.11033980582524268,54.0,0.2736318407960199,False,4.086379289627075
YFI,7,hpc,60.0,15.0,0.8,8.0,0.20388349514563106,0.11300970873786405,1.0,0.009950248756218905,True,4.77272367477417
YFI,8,hpc,300.0,3.0,0.5,8.0,0.13592233009708737,0.1069902912621359,47.0,0.23880597014925373,False,4.062161207199097
YFI,18,hpc,60.0,15.0,0.8,8.0,0.1553398058252427,0.11029126213592232,25.0,0.12935323383084577,False,4.266482353210449
YFI,19,hpc,180.0,5.0,0.2,8.0,0.1650485436893204,0.10878640776699026,20.0,0.1044776119402985,False,4.130665302276611
YFI,20,hpc,150.0,6.0,0.8,8.0,0.1941747572815534,0.10878640776699028,2.0,0.014925373134328358,True,4.457988500595093
YFI,21,hpc,75.0,12.0,0.5,8.0,0.13592233009708737,0.11252427184466017,54.0,0.2736318407960199,False,4.377457618713379
YFI,22,hpc,300.0,3.0,0.2,8.0,0.11650485436893204,0.10839805825242717,92.0,0.4626865671641791,False,3.8471457958221436
YFI,23,hpc,300.0,3.0,0.5,8.0,0.1941747572815534,0.10645631067961162,3.0,0.01990049751243781,True,3.9971487522125244
YFI,24,hpc,90.0,10.0,0.5,8.0,0.1650485436893204,0.11393203883495144,25.0,0.12935323383084577,False,4.2287702560424805
YFI,25,hpc,90.0,10.0,0.8,8.0,0.1650485436893204,0.11019417475728155,21.0,0.10945273631840796,False,3.891554117202759
YFI,26,hpc,60.0,15.0,0.5,8.0,0.18446601941747573,0.11388349514563105,12.0,0.06467661691542288,False,4.991806983947754
YFI,27,hpc,180.0,5.0,0.5,8.0,0.13592233009708737,0.10262135922330094,47.0,0.23880597014925373,False,4.34611439704895
YFI,28,hpc,90.0,10.0,0.5,8.0,0.14563106796116504,0.11087378640776696,38.0,0.19402985074626866,False,4.085128307342529
YFI,29,hpc,900.0,1.0,0.2,8.0,0.21359223300970873,0.10815533980582522,0.0,0.004975124378109453,True,3.7720539569854736
YFI,30,ent,900.0,1.0,0.2,8.0,0.21359223300970873,0.10378640776699026,3.0,0.01990049751243781,True,3.995260715484619
YFI,31,ent,100.0,9.0,0.8,8.0,0.1553398058252427,0.11058252427184463,24.0,0.12437810945273632,False,4.636411190032959
YFI,32,ent,450.0,2.0,0.5,8.0,0.14563106796116504,0.11019417475728152,43.0,0.21890547263681592,False,4.125250816345215
YFI,33,ent,225.0,4.0,0.2,8.0,0.17475728155339806,0.108252427184466,9.0,0.04975124378109453,True,3.760711431503296
YFI,34,ent,90.0,10.0,0.8,8.0,0.17475728155339806,0.10999999999999999,9.0,0.04975124378109453,True,3.6309986114501953
YFI,35,ent,900.0,1.0,0.2,8.0,0.1650485436893204,0.11189320388349513,22.0,0.11442786069651742,False,3.5942094326019287
YFI,36,ent,90.0,10.0,0.5,8.0,0.1941747572815534,0.10956310679611647,4.0,0.024875621890547265,True,3.7065510749816895
YFI,37,ent,60.0,15.0,0.5,8.0,0.14563106796116504,0.11082524271844658,38.0,0.19402985074626866,False,3.899085760116577
YFJ,9,hpc,100.0,9.0,0.8,4.0,0.19298245614035087,0.11087719298245613,1.0,0.009950248756218905,True,3.4203200340270996
YFJ,10,hpc,180.0,5.0,0.2,4.0,0.11403508771929824,0.10618421052631578,91.0,0.4577114427860697,False,3.455531597137451
YFJ,11,hpc,450.0,2.0,0.5,4.0,0.18421052631578946,0.10381578947368421,2.0,0.014925373134328358,True,3.2716517448425293
YFJ,12,hpc,75.0,12.0,0.2,4.0,0.16666666666666666,0.11030701754385965,18.0,0.0945273631840796,False,3.3377983570098877
YFJ,13,hpc,300.0,3.0,0.5,4.0,0.14035087719298245,0.10416666666666664,31.0,0.15920398009950248,False,3.3818371295928955
YFJ,14,hpc,60.0,15.0,0.2,4.0,0.16666666666666666,0.13460526315789473,56.0,0.2835820895522388,False,3.396491289138794
YFJ,15,hpc,75.0,12.0,0.2,4.0,0.15789473684210525,0.1093859649122807,20.0,0.1044776119402985,False,3.4421589374542236
YFJ,16,hpc,100.0,9.0,0.2,4.0,0.11403508771929824,0.10109649122807017,70.0,0.35323383084577115,False,3.454583168029785
YFJ,17,hpc,450.0,2.0,0.5,4.0,0.14035087719298245,0.08526315789473683,8.0,0.04477611940298507,True,3.148170232772827
YFJ,18,hpc,180.0,5.0,0.2,4.0,0.12280701754385964,0.1082017543859649,78.0,0.39303482587064675,False,3.3872241973876953
YFJ,19,hpc,100.0,9.0,0.5,4.0,0.21929824561403508,0.10846491228070175,0.0,0.004975124378109453,True,3.524030923843384
YFJ,20,hpc,150.0,6.0,0.5,4.0,0.10526315789473684,0.08960526315789474,63.0,0.31840796019900497,False,3.3015177249908447
YFJ,21,hpc,60.0,15.0,0.8,4.0,0.18421052631578946,0.11521929824561404,5.0,0.029850746268656716,True,3.3907344341278076
YFJ,22,hpc,60.0,15.0,0.2,4.0,0.19298245614035087,0.11513157894736842,5.0,0.029850746268656716,True,3.433805227279663
YFJ,23,hpc,450.0,2.0,0.5,4.0,0.14912280701754385,0.10083333333333332,17.0,0.08955223880597014,False,3.4946954250335693
