number,time_s,mean_rate_hz,sem_rate_hz,n_presentations
5,0.244,6.9904452601593325,0.5244494614099354,51
5,0.245,6.995255821060736,0.5250620092543353,51
5,0.246,7.000056012962569,0.5256713694882414,51
5,0.247,7.004828428334906,0.5262770259600144,51
5,0.248,7.009607213463028,0.5268796841136081,51
5,0.249,7.014374502373588,0.5274787997757251,51
5,0.25,7.019147420668382,0.5280714740489331,51
5,0.251,7.023874508058684,0.5286631680999471,51
5,0.252,7.028606950607059,0.5292509628289893,51
5,0.253,7.033326888101904,0.5298262518760802,51
5,0.254,7.038033957138323,0.5304060302708912,51
5,0.255,7.042710300689559,0.5309858181865319,51
5,0.256,7.047390076700558,0.5315569296416548,51
5,0.257,7.0520558920135175,0.5321218134583768,51
5,0.258,7.056690355235412,0.5326824086302376,51
5,0.259,7.061344664092552,0.5332444064313137,51
5,0.26,7.065949417564574,0.5337979731108611,51
5,0.261,7.070573312393794,0.5343446499951436,51
5,0.262,7.0751814811634315,0.5348883625904785,51
5,0.263,7.079756092959997,0.5354262402974083,51
5,0.264,7.08428022878292,0.5359599673967962,51
5,0.265,7.088822582146694,0.536487610516654,51
5,0.266,7.093364856606771,0.5370081444387319,51
5,0.267,7.09787265634279,0.5375268094446967,51
5,0.268,7.10234564537494,0.5380388243841595,51
5,0.269,7.106818008365556,0.5385480940076204,51
5,0.27,7.11127191902974,0.5390480810936276,51
5,0.271,7.115724083213653,0.5395440506923247,51
5,0.272,7.120157151638787,0.540034767518126,51
5,0.273,7.1245022133185145,0.5405187717255916,51
5,0.274,7.128879536339106,0.5409952719049741,51
5,0.275,7.1332538119543765,0.5414679844456612,51
5,0.276,7.1376077014451225,0.541935190631056,51
5,0.277,7.14192340802926,0.5423933494473422,51
5,0.278,7.146217655729678,0.5428452030856137,51
5,0.279,7.150490136603566,0.5432906792436929,51
5,0.28,7.154740545275352,0.5437297072327161,51
5,0.281,7.158986074221859,0.5441585533459038,51
5,0.282,7.16319190527459,0.544584392167714,51
5,0.283,7.16737477578948,0.5450035786494902,51
5,0.284,7.171534391386933,0.5454160485523204,51
5,0.285,7.175687955722344,0.5458223884352487,51
5,0.286,7.179818157226404,0.5462260026881192,51
5,0.287,7.183907226730398,0.5466181173982029,51
5,0.288,7.187937847355402,0.5470020529963608,51
5,0.289,7.191961741858095,0.5473780440097302,51
5,0.29,7.195978162212731,0.5477492060314728,51
5,0.291,7.199969340612056,0.5481132509329693,51
5,0.292,7.20393500757077,0.5484701275848496,51
5,0.293,7.207892391965441,0.5488228639451551,51
5,0.294,7.211789678044118,0.5491651806655196,51
5,0.295,7.215695654134272,0.5494995365984044,51
5,0.296,7.2195410162221085,0.549828502014887,51
5,0.297,7.223325960988068,0.5501539466146311,51
5,0.298,7.227136299087163,0.5504667182722632,51
5,0.299,7.230885230865636,0.5507667956590641,51
5,0.3,7.234641551393506,0.5510647161544802,51
5,0.301,7.2383700325306055,0.5513550830079149,51
5,0.302,7.242070440047219,0.5516378611090427,51
5,0.303,7.245725508692141,0.5519171474845574,51
5,0.304,7.249352495043699,0.5521835998987366,51
5,0.305,7.25296819872206,0.5524433518576084,51
5,0.306,7.256554904839531,0.5526953915082179,51
5,0.307,7.260095362848567,0.5529350563022445,51
5,0.308,7.263606844150505,0.55317185822228,51
5,0.309,7.26714115378495,0.5533985306746614,51
5,0.31,7.270629051032136,0.5536203983781378,51
5,0.311,7.2740698864535025,0.5538335539843686,51
5,0.312,7.2774804981983925,0.5540388533782898,51
5,0.313,7.280878188942744,0.5542350709986589,51
5,0.314,7.284228712614195,0.5544217515337454,51
5,0.315,7.2875664145457995,0.5546035199402902,51
5,0.316,7.290856135656033,0.5547773238719305,51
5,0.317,7.294114734325821,0.5549431934078944,51
5,0.318,7.297359533607005,0.5551037755776042,51
5,0.319,7.30055630794414,0.5552527822488313,51
5,0.32,7.30372192808507,0.5553949148375721,51
5,0.321,7.306855773800171,0.5555290808457604,51
5,0.322,7.309975184870507,0.5556541232291486,51
5,0.323,7.313045491814368,0.5557723203658548,51
5,0.324,7.316101077273468,0.5558782291041324,51
5,0.325,7.319107280186685,0.5559803521241631,51
5,0.326,7.322080996422101,0.5560744953890481,51
5,0.327,7.325022552244555,0.5561660368673219,51
5,0.328,7.3279318175822965,0.5562442380590452,51
5,0.329,7.330791171557262,0.5563153046992991,51
5,0.33,7.333635011044376,0.5563775565506617,51
5,0.331,7.336445723809564,0.5564318577709545,51
5,0.332,7.339240692307349,0.5564742972950301,51
5,0.333,7.342002785152614,0.5565107686935923,51
5,0.334,7.344714414716856,0.5565411124497901,51
5,0.335,7.347392515962297,0.5565635445888564,51
5,0.336,7.350019959149964,0.5565818777884266,51
5,0.337,7.352631171642123,0.5565884331180991,51
5,0.338,7.355191537300362,0.5565851846821686,51
5,0.339,7.357735492341935,0.5565760863872978,51
5,0.34,7.360245463983602,0.5565591594571992,51
5,0.341,7.3627393349848465,0.556531630348286,51
5,0.342,7.3651654841470275,0.5565033648068275,51
5,0.343,7.367592434989067,0.5564670205222402,51
5,0.344,7.369951080532944,0.5564193122218437,51
5,0.345,7.372292919015249,0.5563636031757965,51
5,0.346,7.374600405222536,0.5563002089049537,51
5,0.347,7.376908484004328,0.5562344191368842,51
5,0.348,7.379148077950887,0.5561558502563242,51
5,0.349,7.381336185158638,0.5560701952644832,51
5,0.35,7.383490257440296,0.5559789134858085,51
5,0.351,7.385627290478373,0.5558775697405116,51
5,0.352,7.387729766242252,0.5557687251917801,51
5,0.353,7.389815161529695,0.5556514877654236,51
5,0.354,7.391866439422307,0.555529624632062,51
5,0.355,7.393866106865435,0.555398504224791,51
5,0.356,7.395831193485903,0.5552600255143706,51
5,0.357,7.397761698770817,0.5551142266844371,51
5,0.358,7.399657626549527,0.5549611469437786,51
5,0.359,7.401501950500476,0.5547962802789522,51
5,0.36,7.4033292014483365,0.5546288841813636,51
5,0.361,7.405121901231078,0.5544543277415382,51
5,0.362,7.406880071234082,0.5542726542220349,51
5,0.363,7.408587163406541,0.5540935558159538,51
5,0.364,7.4102952215565265,0.5539008187532338,51
5,0.365,7.4119518066722305,0.5536981710162966,51
5,0.366,7.41355741908244,0.5534832753577089,51
5,0.367,7.4151295867260005,0.5532700043136998,51
5,0.368,7.4166849208047125,0.5530467544064084,51
5,0.369,7.4182409699052165,0.5528199114016712,51
5,0.37,7.419711720962332,0.5525871260513697,51
5,0.371,7.421166284311289,0.5523404149422255,51
5,0.372,7.4226047269397935,0.5520927209351231,51
5,0.373,7.4239921414457655,0.5518360662255124,51
5,0.374,7.425363133383969,0.551571530073979,51
5,0.375,7.4266832646487275,0.5513018632383698,51
5,0.376,7.427987149307387,0.5510259514696081,51
5,0.377,7.429257852973985,0.5507459713878234,51
5,0.378,7.430460950371627,0.5504595793447883,51
5,0.379,7.4316310569496435,0.5501623248969137,51
5,0.38,7.432785297223792,0.5498613224056463,51
5,0.381,7.43390628165836,0.5495542105193396,51
5,0.382,7.43497708545872,0.5492386849599827,51
5,0.383,7.436015306124509,0.5489220319078006,51
5,0.384,7.4370380846037545,0.5485969602859218,51
5,0.385,7.437993978710639,0.5482590306518644,51
5,0.386,7.438952151010316,0.5479224975293426,51
5,0.387,7.439877741301857,0.5475802247520232,51
5,0.388,7.440770883676115,0.547232277505161,51
5,0.389,7.441631716007964,0.5468787216589175,51
5,0.39,7.4424953704070465,0.5465124519531289,51
5,0.391,7.4433279465825395,0.5461503471537645,51
5,0.392,7.444112122218018,0.5457821117611539,51
5,0.393,7.444865558033009,0.5453990052323373,51
5,0.394,7.445570928461907,0.5450183640368276,51
5,0.395,7.446262464657413,0.5446332366472149,51
5,0.396,7.446871745362905,0.5442473640523598,51
5,0.397,7.4474679768599685,0.5438535693030943,51
5,0.398,7.448033826197094,0.5434562903911434,51
5,0.399,7.44858649390661,0.54305006816139,51
5,0.4,7.449108665907634,0.5426390042415823,51
5,0.401,7.449635978005789,0.542217231633575,51
5,0.402,7.4501170775333465,0.5417974773897616,51
5,0.403,7.4505512470206385,0.5413723585701996,51
5,0.404,7.450956177667623,0.5409406172241842,51
5,0.405,7.451315034498234,0.5405035442018008,51
5,0.406,7.451662078113514,0.5400649692049736,51
5,0.407,7.451962985279285,0.5396214191518974,51
5,0.408,7.452252483981031,0.5391742852855292,51
5,0.409,7.452496257532058,0.5387223585439891,51
5,0.41,7.452729040379933,0.5382669801573822,51
5,0.411,7.452951051940495,0.5378048175585332,51
5,0.412,7.453145491796402,0.5373422378888346,51
5,0.413,7.453295562750864,0.5368711223647982,51
5,0.414,7.4533844593937735,0.5363967835224123,51
5,0.415,7.453480989850202,0.5359221819007088,51
5,0.416,7.453550399212588,0.5354439578144746,51
5,0.417,7.453610421069646,0.5349614193889608,51
5,0.418,7.453626778440164,0.5344761712450997,51
5,0.419,7.453617210606488,0.5339860461001082,51
5,0.42,7.453599459766835,0.5334968535935094,51
5,0.421,7.45355675292699,0.533008232003698,51
5,0.422,7.453471859437329,0.532510248860953,51
5,0.423,7.4533616090154595,0.5320092224281475,51
5,0.424,7.453226260121685,0.5315052360906397,51
5,0.425,7.453066073646764,0.5309983735579706,51
5,0.426,7.452881312864773,0.5304887188537719,51
5,0.427,7.452689738625328,0.5299749580924266,51
5,0.428,7.452440066275834,0.5294612952492761,51
5,0.429,7.452184119042395,0.528943694451158,51
5,0.43,7.451904674551844,0.5284236390496527,51
5,0.431,7.451584973325313,0.5278971852479103,51
5,0.432,7.451242776305907,0.5273704779248787,51
