subject,neuron,region_raw,region,n_trials,n_presentations,best_bin_ms,best_gamma,temporal_accuracy,permutation_p,n_perm_equal_or_better,coding,valid,invalid_reason
YFK,63,para-hpc,PARA-HPC,100,114,100.0,0.8,0.07017543859649122,0.7114427860696517,142.0,False,True,
YFK,64,para-hpc,PARA-HPC,100,114,60.0,0.2,0.14912280701754385,0.0845771144278607,16.0,False,True,
YFK,65,para-hpc,PARA-HPC,100,114,180.0,0.2,0.14035087719298245,0.13432835820895522,26.0,False,True,
YFK,66,para-hpc,PARA-HPC,100,114,75.0,0.2,0.13157894736842105,0.24875621890547264,49.0,False,True,
YFK,67,para-hpc,PARA-HPC,100,114,180.0,0.2,0.13157894736842105,0.23880597014925373,47.0,False,True,
YFL,19,hpc,HPC,100,114,225.0,0.2,0.13157894736842105,0.2537313432835821,50.0,False,True,
YFL,20,hpc,HPC,100,114,100.0,0.2,0.15789473684210525,0.3880597014925373,77.0,False,True,
YFL,21,hpc,HPC,100,114,180.0,0.2,0.14035087719298245,0.32338308457711445,64.0,False,True,
YFL,22,hpc,HPC,100,114,225.0,0.2,0.14912280701754385,0.13432835820895522,26.0,False,True,
YFL,23,hpc,HPC,100,114,75.0,0.8,0.15789473684210525,0.13930348258706468,27.0,False,True,
YFL,24,hpc,HPC,100,114,75.0,0.5,0.19298245614035087,0.01990049751243781,3.0,True,True,
YFL,25,hpc,HPC,100,114,90.0,0.2,0.13157894736842105,0.29850746268656714,59.0,False,True,
YFL,26,hpc,HPC,100,114,100.0,0.2,0.18421052631578946,0.03482587064676617,6.0,True,True,
YFL,27,hpc,HPC,100,114,,,,,,False,False,all parameter combinations returned NaN
YFL,28,hpc,HPC,100,114,60.0,0.2,0.11403508771929824,0.27860696517412936,55.0,False,True,
YFL,29,hpc,HPC,100,114,300.0,0.2,0.21052631578947367,0.004975124378109453,0.0,True,True,
YFL,30,hpc,HPC,100,114,100.0,0.8,0.18421052631578946,0.009950248756218905,1.0,True,True,
YFL,31,hpc,HPC,100,114,180.0,0.8,0.13157894736842105,0.3034825870646766,60.0,False,True,
YFL,32,hpc,HPC,100,114,900.0,0.2,0.16666666666666666,0.024875621890547265,4.0,True,True,
YFL,33,hpc,HPC,100,114,90.0,0.2,0.14035087719298245,0.25870646766169153,51.0,False,True,
YFL,34,hpc,HPC,100,114,100.0,0.2,0.16666666666666666,0.11442786069651742,22.0,False,True,
YFL,35,hpc,HPC,100,114,450.0,0.2,0.17543859649122806,0.04975124378109453,9.0,True,True,
YFL,36,hpc,HPC,100,114,60.0,0.5,0.12280701754385964,0.47761194029850745,95.0,False,True,
YFL,37,hpc,HPC,100,114,150.0,0.2,0.12280701754385964,0.35323383084577115,70.0,False,True,
YFL,38,hpc,HPC,100,114,450.0,0.2,0.18421052631578946,0.014925373134328358,2.0,True,True,
YFL,39,hpc,HPC,100,114,225.0,0.2,0.15789473684210525,0.07960199004975124,15.0,False,True,
YFL,58,hpc,HPC,100,114,100.0,0.2,0.14912280701754385,0.14925373134328357,29.0,False,True,
YFL,59,hpc,HPC,100,114,900.0,0.2,0.10526315789473684,0.4129353233830846,82.0,False,True,
YFL,60,hpc,HPC,100,114,150.0,0.8,0.12280701754385964,0.38308457711442784,76.0,False,True,
YFL,61,hpc,HPC,100,114,180.0,0.2,0.12280701754385964,0.29850746268656714,59.0,False,True,
YFL,62,hpc,HPC,100,114,180.0,0.2,0.12280701754385964,0.373134328358209,74.0,False,True,
YFL,63,hpc,HPC,100,114,75.0,0.2,0.10526315789473684,0.572139303482587,114.0,False,True,
