trial,tCue1,tCue2,tCue3,presentationEnd,tPress1,tPress2,tPress3,keyPress1,keyPress2,keyPress3,choiceEnd,timeFeedback,cue1,cue2,operation,operationFirst,correctAnsw,givenAnsw,correct,correctFb,toExclude,operand1_time,operation_time,operand2_time
63,559484.833333333,560234.833333333,560984.8,561734.8,565834.733333333,,,1,,,566568.033333333,567068.033333333,1,2,-,1,-1,1,0,1,0,560234.833333333,559484.833333333,560984.8
64,567568.033333333,568318.0,569068.0,569818.0,572001.3,577784.533333333,,1,4.0,,580784.466666667,581284.466666667,7,7,+,0,14,14,1,1,0,567568.033333333,569068.0,568318.0
65,581784.466666667,582534.433333333,583284.433333333,584034.4,586584.366666667,587251.033333333,,1,8.0,,588101.0,588617.666666667,8,8,+,1,16,18,0,1,0,582534.433333333,581784.466666667,583284.433333333
66,589117.666666667,589867.666666667,590617.633333333,591367.633333333,596067.533333333,,,6,,,596900.866666667,597417.5,10,4,-,0,6,6,1,1,0,589117.666666667,590617.633333333,589867.666666667
67,597917.5,598667.5,599417.5,600167.466666667,601534.1,602067.433333333,,1,8.0,,603117.433333333,603634.066666667,9,9,+,0,18,18,1,1,0,597917.5,599417.5,598667.5
68,604134.066666667,604884.066666667,605634.033333333,606384.033333333,607850.666666667,,,8,,,608534.0,609033.966666667,7,1,+,0,8,8,1,1,0,604134.066666667,605634.033333333,604884.066666667
69,609534.0,610283.966666667,611033.966666667,611783.933333333,613600.566666667,,,0,,,614150.566666667,614650.566666667,0,3,-,0,-3,0,0,1,0,609534.0,611033.966666667,610283.966666667
70,615167.233333333,615917.2,616667.2,617417.166666667,618783.833333333,,,5,,,619450.466666667,619950.466666667,5,0,+,0,5,5,1,1,0,615167.233333333,616667.2,615917.2
71,620450.466666667,621200.466666667,621950.433333333,622700.433333333,624100.4,,,9,,,624683.733333333,625183.7,10,1,-,1,9,9,1,1,0,621200.466666667,620450.466666667,621950.433333333
72,625683.7,626433.7,627183.666666667,627933.666666667,633166.933333333,,,0,,,633633.566666667,634133.566666667,0,6,-,1,-6,0,0,1,0,626433.7,625683.7,627183.666666667
73,634633.566666667,635383.533333333,636133.533333333,636883.5,638116.833333333,,,4,,,638750.133333333,639250.133333333,3,1,+,0,4,4,1,1,0,634633.566666667,636133.533333333,635383.533333333
74,639750.133333333,640500.133333333,641250.1,642000.1,644033.4,644350.066666667,,2,0.0,,644833.366666667,645333.366666667,10,10,+,1,20,20,1,1,0,640500.133333333,639750.133333333,641250.1
75,645833.366666667,646583.333333333,647333.333333333,648083.333333333,650166.633333333,,,8,,,650783.266666667,651283.266666667,8,0,-,1,8,8,1,1,0,646583.333333333,645833.366666667,647333.333333333
76,651799.933333333,652549.9,653299.9,654049.9,657033.166666667,658016.5,,1,3.0,,658516.466666667,659016.466666667,4,9,+,0,13,13,1,1,0,651799.933333333,653299.9,652549.9
77,659516.466666667,660266.466666667,661016.433333333,661766.433333333,665199.7,665616.366666667,,1,3.0,,666049.666666667,666549.666666667,6,7,+,0,13,13,1,1,0,659516.466666667,661016.433333333,660266.466666667
78,667049.666666667,667799.666666667,668549.633333333,669299.633333333,670999.6,,,5,,,671582.933333333,672082.9,0,5,+,0,5,5,1,1,0,667049.666666667,668549.633333333,667799.666666667
79,672599.6,673332.9,674099.566666667,674849.533333333,679816.133333333,,,3,,,680266.1,680766.1,8,5,-,1,3,3,1,1,0,673332.9,672599.6,674099.566666667
80,681266.1,682016.066666667,682766.066666667,683516.066666667,684982.7,,,5,,,685482.7,685999.333333333,1,6,-,0,-5,5,0,1,0,681266.1,682766.066666667,682016.066666667
81,686499.333333333,687249.333333333,687999.333333333,688749.3,690999.266666667,691282.6,,1,1.0,,691849.233333333,692349.233333333,3,8,+,0,11,11,1,1,0,686499.333333333,687999.333333333,687249.333333333
82,692849.233333333,693599.233333333,694349.2,695099.2,697249.166666667,,,1,,,698199.133333333,698699.133333333,3,4,-,1,-1,1,0,1,0,693599.233333333,692849.233333333,694349.2
83,699199.133333333,699949.1,700699.1,701449.1,717232.166666667,,,0,,,717682.133333333,718182.133333333,10,2,+,1,12,0,0,1,0,699949.1,699199.133333333,700699.1
84,718682.133333333,719432.1,720182.1,720932.1,727115.333333333,,,4,,,727898.633333333,728398.633333333,4,7,-,0,-3,4,0,1,0,718682.133333333,720182.1,719432.1
85,728898.633333333,729648.6,730398.6,731148.566666667,734415.2,,,2,,,734881.833333333,735381.833333333,4,2,-,1,2,2,1,1,0,729648.6,728898.633333333,730398.6
86,735881.833333333,736631.833333333,737381.8,738131.8,739565.1,,,1,,,740248.433333333,740748.4,3,4,-,0,-1,1,0,1,0,735881.833333333,737381.8,736631.833333333
87,741248.4,741998.4,742748.366666667,743498.366666667,747448.3,747764.966666667,,1,2.0,,748164.966666667,748664.933333333,4,8,+,1,12,12,1,1,0,741998.4,741248.4,742748.366666667
88,749181.6,749931.6,750681.566666667,751431.566666667,757198.133333333,757531.466666667,,1,3.0,,758231.466666667,758731.433333333,9,4,+,1,13,13,1,1,0,749931.6,749181.6,750681.566666667
89,759231.433333333,759981.433333333,760731.4,761481.4,762781.366666667,763164.7,,1,4.0,,763764.7,764264.666666667,7,7,+,0,14,14,1,1,0,759231.433333333,760731.4,759981.433333333
90,764764.666666667,765514.666666667,766264.633333333,767014.633333333,771081.233333333,771447.9,,1,5.0,,771881.233333333,772381.2,6,9,+,0,15,15,1,1,0,764764.666666667,766264.633333333,765514.666666667
91,772881.2,773631.2,774381.166666667,775131.166666667,777181.133333333,,,6,,,777697.8,778197.766666667,5,1,+,1,6,6,1,1,0,773631.2,772881.2,774381.166666667
92,778697.766666667,779447.766666667,780197.766666667,780947.733333333,784564.333333333,,,7,,,785197.666666667,785697.633333333,1,8,-,1,-7,7,0,1,0,779447.766666667,778697.766666667,780197.766666667
93,786214.3,786964.3,787714.3,788464.266666667,793864.2,,,0,,,794347.5,794847.5,2,0,-,1,2,0,0,1,0,786964.3,786214.3,787714.3
94,795347.5,796097.466666667,796847.466666667,797597.466666667,798797.433333333,799330.733333333,,1,7.0,,800180.733333333,800680.733333333,7,10,+,1,17,17,1,1,0,796097.466666667,795347.5,796847.466666667
95,801180.733333333,801930.7,802680.7,803430.666666667,806030.633333333,,,9,,,806613.966666667,807113.933333333,6,3,+,0,9,9,1,1,0,801180.733333333,802680.7,801930.7
96,807613.966666667,808363.933333333,809130.6,809880.566666667,811580.533333333,,,6,,,812047.2,812547.2,1,5,+,0,6,6,1,1,0,807613.966666667,809130.6,808363.933333333
97,813063.866666667,813797.166666667,814563.833333333,815313.8,819347.1,,,7,,,820247.066666667,820747.033333333,9,2,-,0,7,7,1,1,0,813063.866666667,814563.833333333,813797.166666667
98,821247.066666667,821997.033333333,822747.033333333,823513.666666667,825946.966666667,,,7,,,826563.633333333,827080.266666667,3,4,+,0,7,7,1,1,0,821247.066666667,822747.033333333,821997.033333333
99,827580.266666667,828330.266666667,829080.266666667,829830.233333333,834580.166666667,834963.466666667,,1,4.0,,835713.466666667,836230.133333333,9,5,+,1,14,14,1,1,0,828330.266666667,827580.266666667,829080.266666667
100,836730.133333333,837480.1,838230.1,838980.066666667,844346.666666667,,,2,,,844846.633333333,845346.633333333,6,8,-,0,-2,2,0,1,0,836730.133333333,838230.1,837480.1
101,845846.633333333,846596.633333333,847346.6,848113.266666667,858429.766666667,,,0,,,861396.366666667,861879.666666667,10,8,+,1,18,0,0,1,0,846596.633333333,845846.633333333,847346.6
102,862379.7,863129.666666667,863879.666666667,864629.633333333,871746.2,,,3,,,872146.166666667,872646.166666667,9,6,-,0,3,3,1,1,0,862379.7,863879.666666667,863129.666666667
103,873146.166666667,873896.166666667,874646.133333333,875396.133333333,876729.433333333,,,0,,,877279.433333333,877779.4,6,6,-,1,0,0,1,1,0,873896.166666667,873146.166666667,874646.133333333
104,878279.433333333,879029.4,879779.4,880529.366666667,883646.0,884012.633333333,,1,4.0,,884562.633333333,885062.633333333,9,5,+,0,14,14,1,1,0,878279.433333333,879779.4,879029.4
105,885562.633333333,886312.6,887062.6,887812.566666667,890829.2,,,4,,,891545.866666667,892062.5,4,8,-,1,-4,4,0,1,0,886312.6,885562.633333333,887062.6
106,892562.5,893312.5,894062.466666667,894812.466666667,905745.633333333,,,2,,,906512.266666667,907012.266666667,9,7,+,1,16,2,0,1,0,893312.5,892562.5,894062.466666667
107,907512.266666667,908262.233333333,909012.233333333,909762.2,911512.2,,,4,,,912095.5,912595.5,3,1,+,0,4,4,1,1,0,907512.266666667,909012.233333333,908262.233333333
108,913095.5,913845.466666667,914595.466666667,915345.433333333,916995.433333333,,,0,,,917428.733333333,917928.733333333,6,6,-,1,0,0,1,1,0,913845.466666667,913095.5,914595.466666667
109,918445.4,919178.7,919945.366666667,920695.366666667,923895.3,,,2,,,924578.633333333,925095.266666667,3,5,-,0,-2,2,0,1,0,918445.4,919945.366666667,919178.7
110,925595.266666667,926345.266666667,927095.233333333,927845.233333333,932828.5,933145.133333333,,1,0.0,,933495.133333333,933995.133333333,2,8,-,1,-6,10,0,1,0,926345.266666667,925595.266666667,927095.233333333
111,934495.133333333,935245.1,935995.1,936745.066666667,945444.933333333,,,0,,,945894.933333333,946394.9,7,1,+,0,8,0,0,1,0,934495.133333333,935995.1,935245.1
112,946894.9,947644.9,948394.9,949144.866666667,953461.466666667,,,1,,,954061.466666667,954561.433333333,5,6,-,1,-1,1,0,1,0,947644.9,946894.9,948394.9
113,955061.433333333,955811.433333333,956561.4,957311.4,962844.633333333,,,0,,,963277.966666667,963794.6,1,2,-,0,-1,0,0,1,0,955061.433333333,956561.4,955811.433333333
114,964294.633333333,965044.6,965794.6,966544.566666667,968811.2,,,5,,,969361.2,969861.166666667,2,3,+,0,5,5,1,1,0,964294.633333333,965794.6,965044.6
115,970361.166666667,971111.166666667,971861.166666667,972611.133333333,976127.766666667,,,8,,,976694.4,977194.4,4,4,+,1,8,8,1,1,0,971111.166666667,970361.166666667,971861.166666667
116,977694.4,978444.366666667,979194.366666667,979944.366666667,986160.933333333,,,3,,,986494.233333333,986994.233333333,7,10,-,0,-3,3,0,1,0,977694.4,979194.366666667,978444.366666667
