bootstrap_sample,mean_coding_proportion,mean_coding_percent
224,0.259551846594606,25.9551846594606
225,0.2915877422937848,29.15877422937848
226,0.27084229626575734,27.084229626575734
227,0.30145270142671343,30.145270142671343
228,0.29529014434046214,29.529014434046214
229,0.2937951517803448,29.37951517803448
230,0.3068233897129021,30.682338971290207
231,0.3074096073519656,30.74096073519656
232,0.27760165200054837,27.760165200054836
233,0.2873515422072048,28.73515422072048
234,0.2975675738833288,29.75675738833288
235,0.297254363734053,29.7254363734053
236,0.3107264977065052,31.072649770650518
237,0.28890799552349866,28.890799552349865
238,0.2836227215577747,28.362272155777468
239,0.29366287339094826,29.366287339094825
240,0.25564239393121546,25.564239393121547
241,0.3059785834413009,30.597858344130092
242,0.2864524523899894,28.64524523899894
243,0.2912093006360998,29.12093006360998
244,0.2772219026785007,27.72219026785007
245,0.2920778290264707,29.20778290264707
246,0.2810918881850408,28.109188818504077
247,0.2851694227509954,28.516942275099538
248,0.27762564927804023,27.76256492780402
249,0.2750439367049806,27.50439367049806
250,0.3052736653381239,30.52736653381239
251,0.29806154027308646,29.806154027308647
252,0.29941368721798706,29.941368721798707
253,0.26881631812130485,26.881631812130486
254,0.2992320122991284,29.923201229912838
255,0.30906017630827826,30.906017630827826
256,0.2977716622401219,29.77716622401219
257,0.3003226270169319,30.032262701693192
258,0.29737580018857945,29.737580018857944
259,0.2799929130149497,27.99929130149497
260,0.28855973696851506,28.855973696851507
261,0.2878255564436362,28.782555644363622
262,0.30663374884529504,30.663374884529503
263,0.2934943107110468,29.349431071104682
264,0.2957977475283548,29.57977475283548
265,0.29026340447748317,29.026340447748318
266,0.27005940723106403,27.005940723106402
267,0.3012186843646021,30.121868436460208
268,0.2698472711996164,26.984727119961637
269,0.3166081452258929,31.66081452258929
270,0.28820402793205857,28.820402793205858
271,0.28395894967883495,28.395894967883496
272,0.2946739158172569,29.46739158172569
273,0.29138073790579444,29.138073790579444
274,0.2875741626107184,28.75741626107184
275,0.27006272437623474,27.006272437623473
276,0.27776206936909315,27.776206936909315
277,0.2835191030331035,28.35191030331035
278,0.3047911591375185,30.479115913751848
279,0.29401755216663533,29.401755216663535
280,0.3043829530461121,30.438295304611213
281,0.2918000329887855,29.18000329887855
282,0.30576216735696077,30.576216735696075
283,0.26756345495635586,26.756345495635586
284,0.33052327759521477,33.052327759521475
285,0.29692358131530794,29.692358131530796
286,0.301603044110717,30.1603044110717
287,0.2613700962708728,26.13700962708728
288,0.27821168939508384,27.821168939508382
289,0.2846560025056697,28.46560025056697
290,0.3048471328186124,30.484713281861243
291,0.26062293480033377,26.06229348003338
292,0.2838800036483851,28.38800036483851
293,0.28987973225516867,28.987973225516868
294,0.2928310556704281,29.28310556704281
295,0.28009912017256383,28.009912017256383
296,0.26905917490626535,26.905917490626535
297,0.27177000590262307,27.177000590262306
298,0.2829390899351674,28.29390899351674
299,0.26637695419015067,26.637695419015067
300,0.2893867859118424,28.938678591184242
301,0.271889446066845,27.1889446066845
302,0.3047901019196809,30.479010191968094
303,0.28172293782440927,28.172293782440928
304,0.3094820425037913,30.94820425037913
305,0.291389569237421,29.1389569237421
306,0.28920978710453354,28.920978710453355
307,0.30229881309530215,30.229881309530214
308,0.28936116490850716,28.936116490850715
309,0.280905321142655,28.0905321142655
310,0.2711524155393695,27.115241553936947
311,0.28583406885610557,28.583406885610557
312,0.2696757350087496,26.96757350087496
313,0.3065505214375056,30.65505214375056
314,0.2798459250917826,27.984592509178256
315,0.3062785717718496,30.627857177184957
316,0.27398707415096435,27.398707415096435
317,0.2787029833042649,27.87029833042649
318,0.29054755409231964,29.054755409231962
319,0.313736049861629,31.3736049861629
320,0.2965433480178032,29.65433480178032
321,0.2793703247484186,27.93703247484186
322,0.28859602298774956,28.859602298774956
323,0.29321292664487913,29.321292664487913
324,0.2951975206854846,29.51975206854846
325,0.2662109657703335,26.62109657703335
326,0.27711409937101283,27.711409937101283
327,0.30476471670816846,30.476471670816846
328,0.274015778493179,27.4015778493179
329,0.3062411757599047,30.62411757599047
330,0.2830934111974151,28.30934111974151
