subject,region,neuron_id,paper_unit,n_presentations,temporal_accuracy,best_bin_ms,best_gamma,shuffle_mean_accuracy,shuffle_95,p_value,temporal_coding,n_valid_shuffles,q_value,temporal_coding_FDR
YFM,ent,34,35,114,0.14035087719298245,450.0,0.5,0.1057456140350877,0.14956140350877178,0.15920398009950248,False,200,0.2801377726750861,False
YFM,ent,35,36,114,0.19298245614035087,150.0,0.5,0.10030701754385964,0.1583333333333332,0.009950248756218905,True,200,0.1300639658848614,False
YFM,ent,36,37,114,0.19298245614035087,90.0,0.5,0.1143421052631579,0.16666666666666666,0.01990049751243781,True,200,0.15387849484969518,False
YFM,ent,37,38,114,0.16666666666666666,450.0,0.2,0.10407894736842105,0.14912280701754385,0.024875621890547265,True,200,0.160667251975417,False
YFM,ent,38,39,114,0.17543859649122806,100.0,0.5,0.10951754385964911,0.17543859649122806,0.05970149253731343,False,200,0.18008856814826965,False
YFM,ent,39,40,114,0.14035087719298245,180.0,0.8,0.10846491228070175,0.16666666666666666,0.23383084577114427,False,200,0.33871539400622214,False
YFM,ent,40,41,114,0.20175438596491227,75.0,0.2,0.11162280701754385,0.17543859649122806,0.029850746268656716,True,200,0.160667251975417,False
YFM,ent,41,42,114,0.12280701754385964,225.0,0.2,0.10855263157894736,0.17543859649122806,0.38308457711442784,False,200,0.45228695233509864,False
YFM,ent,42,43,114,0.18421052631578946,90.0,0.2,0.14201754385964913,0.16666666666666666,0.04477611940298507,True,200,0.1672250989948218,False
YFM,ent,43,44,114,0.17543859649122806,60.0,0.8,0.11583333333333332,0.17543859649122806,0.07960199004975124,False,200,0.19336943600581166,False
YFM,ent,44,45,114,0.14035087719298245,75.0,0.2,0.11258771929824561,0.16666666666666666,0.24875621890547264,False,200,0.3492766347291674,False
YFM,ent,45,46,114,0.14035087719298245,60.0,0.8,0.11399122807017542,0.17543859649122806,0.21890547263681592,False,200,0.3274634999389971,False
YFM,ent,46,47,114,0.08771929824561403,100.0,0.8,0.0907017543859649,0.14912280701754385,0.5621890547263682,False,200,0.6004704105929497,False
YFM,ent,47,48,114,0.14912280701754385,100.0,0.2,0.11364035087719299,0.17543859649122806,0.19402985074626866,False,200,0.3078681735829523,False
YFM,ent,48,49,114,0.14912280701754385,75.0,0.5,0.11416666666666667,0.18421052631578946,0.1890547263681592,False,200,0.30526777875329236,False
YFM,ent,49,50,114,0.12280701754385964,90.0,0.2,0.10614035087719298,0.16666666666666666,0.34328358208955223,False,200,0.42161674847240305,False
YFM,hpc,61,62,114,0.12280701754385964,100.0,0.2,0.11131578947368422,0.1583333333333332,0.40298507462686567,False,200,0.46478740750031355,False
YFM,hpc,62,63,114,0.13157894736842105,180.0,0.8,0.11017543859649123,0.16666666666666666,0.2835820895522388,False,200,0.3715669860720265,False
YFM,hpc,63,64,114,,,,,,,False,0,,False
YFM,hpc,64,65,114,0.18421052631578946,90.0,0.2,0.11407894736842104,0.18421052631578946,0.06467661691542288,False,200,0.18116052391105697,False
YFM,hpc,65,66,114,0.14912280701754385,60.0,0.2,0.11557017543859649,0.16666666666666666,0.19900497512437812,False,200,0.3095006553634096,False
YFM,hpc,66,67,114,0.13157894736842105,225.0,0.5,0.1118421052631579,0.17543859649122806,0.29850746268656714,False,200,0.38379530916844345,False
YFM,hpc,67,68,114,0.08771929824561403,300.0,0.2,0.11048245614035088,0.18421052631578946,0.6467661691542289,False,200,0.6776233337131139,False
YFM,hpc,68,69,114,0.11403508771929824,300.0,0.2,0.10337719298245612,0.15789473684210525,0.373134328358209,False,200,0.4433998836983912,False
YFM,hpc,69,70,114,0.11403508771929824,225.0,0.5,0.11057017543859649,0.16666666666666666,0.46766169154228854,False,200,0.5207835064030758,False
YFM,hpc,70,71,114,0.14912280701754385,60.0,0.5,0.11456140350877192,0.17543859649122806,0.19402985074626866,False,200,0.3078681735829523,False
YFM,hpc,71,72,114,0.10526315789473684,90.0,0.8,0.09736842105263158,0.17543859649122806,0.40298507462686567,False,200,0.46478740750031355,False
YFM,hpc,72,73,114,0.14912280701754385,150.0,0.2,0.11017543859649122,0.1675438596491225,0.14925373134328357,False,200,0.2722269053404076,False
YFM,hpc,73,74,114,0.21052631578947367,225.0,0.2,0.11140350877192981,0.17543859649122806,0.004975124378109453,True,200,0.1300639658848614,False
YFM,hpc,74,75,114,0.19298245614035087,180.0,0.2,0.09140350877192983,0.16666666666666666,0.024875621890547265,True,200,0.160667251975417,False
YFM,hpc,75,76,114,0.16666666666666666,60.0,0.2,0.1584949215143121,0.16666666666666666,0.6073298429319371,False,190,0.6412001610954491,False
YFM,hpc,76,77,114,0.16666666666666666,60.0,0.2,0.1578480776409108,0.16666666666666666,0.5873015873015873,False,188,0.6224489795918368,False
YFM,hpc,77,78,114,0.06140350877192982,60.0,0.2,0.1311842105263158,0.16666666666666666,0.9800995024875622,False,200,0.9818880052293278,False
YFM,hpc,78,79,114,0.14035087719298245,60.0,0.2,0.1100877192982456,0.17543859649122806,0.23383084577114427,False,200,0.33871539400622214,False
YFM,hpc,79,80,114,0.10526315789473684,225.0,0.5,0.1020175438596491,0.17543859649122806,0.46766169154228854,False,200,0.5207835064030758,False
YFM,hpc,80,81,114,0.15789473684210525,900.0,0.2,0.10350877192982455,0.14956140350877178,0.05472636815920398,False,200,0.17168443496801705,False
YFM,hpc,81,82,114,0.16666666666666666,450.0,0.2,0.10114035087719297,0.15789473684210525,0.03980099502487562,True,200,0.16679958983707416,False
YFM,ent,82,83,114,0.14912280701754385,60.0,0.2,0.11442982456140349,0.18421052631578946,0.22885572139303484,False,200,0.3377467501203659,False
YFM,ent,83,84,114,0.15789473684210525,450.0,0.5,0.09157894736842104,0.14912280701754385,0.04477611940298507,True,200,0.1672250989948218,False
YFM,ent,84,85,114,0.19298245614035087,180.0,0.5,0.10425438596491227,0.15789473684210525,0.014925373134328358,True,200,0.14898236092265943,False
YFM,ent,85,86,114,0.21929824561403508,225.0,0.5,0.10385964912280703,0.15789473684210525,0.004975124378109453,True,200,0.1300639658848614,False
YFM,ent,86,87,114,0.13157894736842105,100.0,0.2,0.11714912280701753,0.18421052631578946,0.3681592039800995,False,200,0.4413087401420843,False
YFM,ent,87,88,114,0.15789473684210525,75.0,0.8,0.10048245614035087,0.14956140350877178,0.05472636815920398,False,200,0.17168443496801705,False
YFM,ent,88,89,114,0.18421052631578946,100.0,0.8,0.11232456140350877,0.17543859649122806,0.024875621890547265,True,200,0.160667251975417,False
YFM,ent,89,90,114,0.13157894736842105,60.0,0.5,0.11210526315789472,0.1671052631578946,0.27860696517412936,False,200,0.3676808266360505,False
