trial_index,operand,number,onset_ms,spike_count,firing_rate_hz
93,2,9,559674.0,5,5.555555555555555
94,1,2,564057.266666667,6,6.666666666666666
94,2,7,564807.266666667,5,5.555555555555555
95,1,1,571990.466666667,9,10.0
95,2,3,572740.466666667,6,6.666666666666666
96,1,4,577057.066666667,12,13.333333333333332
97,1,9,583623.633333333,7,7.777777777777778
97,2,9,584373.6,5,5.555555555555555
98,1,8,589490.2,9,10.0
98,2,3,590240.166666667,11,12.222222222222221
100,1,7,599923.366666667,10,11.11111111111111
100,2,5,600673.333333333,8,8.88888888888889
101,1,9,604656.6,5,5.555555555555555
101,2,7,605406.6,6,6.666666666666666
102,1,6,610306.533333333,8,8.88888888888889
102,2,9,611056.5,5,5.555555555555555
103,2,1,616456.433333333,7,7.777777777777778
104,1,7,624756.3,7,7.777777777777778
105,1,4,631406.166666667,5,5.555555555555555
105,2,9,632156.166666667,7,7.777777777777778
106,1,1,638272.733333333,9,10.0
107,1,2,642472.666666667,9,10.0
108,1,5,647439.266666667,16,17.77777777777778
108,2,2,648189.233333333,7,7.777777777777778
109,2,2,654089.133333333,5,5.555555555555555
110,1,6,658139.066666667,7,7.777777777777778
110,2,6,658889.066666667,6,6.666666666666666
111,1,1,663822.333333333,5,5.555555555555555
111,2,9,664572.3,7,7.777777777777778
112,1,7,670005.533333333,5,5.555555555555555
112,2,5,670755.533333333,6,6.666666666666666
113,1,5,674088.833333333,8,8.88888888888889
113,2,2,674838.8,7,7.777777777777778
114,1,2,678788.733333333,3,3.333333333333333
114,2,7,679538.733333333,4,4.444444444444445
115,1,5,684538.633333333,6,6.666666666666666
115,2,1,685288.633333333,3,3.333333333333333
116,1,1,689488.566666667,3,3.333333333333333
116,2,2,690238.566666667,4,4.444444444444445
117,1,2,694038.5,4,4.444444444444445
117,2,8,694788.466666667,3,3.333333333333333
118,2,8,701121.7,7,7.777777777777778
119,2,1,708054.933333333,6,6.666666666666666
120,2,5,714171.5,8,8.88888888888889
121,1,8,718838.1,8,8.88888888888889
121,2,4,719588.066666667,5,5.555555555555555
123,1,4,729071.266666667,5,5.555555555555555
124,1,6,734554.5,2,2.2222222222222223
124,2,2,735304.5,3,3.333333333333333
125,1,9,740521.066666667,8,8.88888888888889
127,1,6,755587.5,6,6.666666666666666
127,2,1,756337.5,5,5.555555555555555
128,1,7,760004.1,5,5.555555555555555
129,2,2,766953.966666667,4,4.444444444444445
130,1,4,771203.9,9,10.0
131,2,3,777137.133333333,7,7.777777777777778
132,1,5,781937.066666667,7,7.777777777777778
132,2,4,782687.066666667,9,10.0
133,1,6,786337.0,6,6.666666666666666
133,2,8,787087.0,5,5.555555555555555
134,1,7,791236.933333333,5,5.555555555555555
134,2,7,791986.9,3,3.333333333333333
135,1,5,795920.166666667,7,7.777777777777778
136,2,9,801553.433333333,1,1.1111111111111112
137,1,5,806120.0,7,7.777777777777778
137,2,6,806870.0,8,8.88888888888889
138,1,1,810953.266666667,3,3.333333333333333
138,2,8,811703.266666667,5,5.555555555555555
139,1,6,817636.5,11,12.222222222222221
140,2,6,824586.366666667,2,2.2222222222222223
141,2,6,830302.966666667,11,12.222222222222221
142,2,5,834419.533333333,5,5.555555555555555
143,1,1,838936.133333333,6,6.666666666666666
143,2,7,839686.133333333,3,3.333333333333333
144,1,2,845652.7,3,3.333333333333333
145,1,9,850035.966666667,5,5.555555555555555
146,1,5,855035.9,10,11.11111111111111
146,2,7,855785.866666667,7,7.777777777777778
147,1,2,860102.466666667,7,7.777777777777778
148,1,3,865135.733333333,4,4.444444444444445
148,2,9,865885.7,6,6.666666666666666
149,1,5,870635.633333333,7,7.777777777777778
150,1,2,876018.9,9,10.0
150,2,1,876768.866666667,11,12.222222222222221
151,1,1,880918.8,8,8.88888888888889
151,2,8,881668.8,5,5.555555555555555
152,1,5,887385.366666667,5,5.555555555555555
152,2,2,888135.333333333,5,5.555555555555555
153,1,1,892301.966666667,10,11.11111111111111
153,2,7,893051.933333333,7,7.777777777777778
154,1,2,896985.2,10,11.11111111111111
154,2,8,897735.2,13,14.444444444444445
155,1,9,902801.766666667,4,4.444444444444445
155,2,7,903551.766666667,4,4.444444444444445
156,1,8,909101.666666667,7,7.777777777777778
156,2,2,909851.666666667,4,4.444444444444445
157,2,3,914651.6,4,4.444444444444445
158,1,6,919151.5,11,12.222222222222221
158,2,4,919901.5,9,10.0
159,2,1,924334.766666667,7,7.777777777777778
160,1,5,928401.366666667,7,7.777777777777778
160,2,2,929151.366666667,7,7.777777777777778
161,1,8,934584.6,6,6.666666666666666
161,2,9,935334.6,5,5.555555555555555
162,1,6,940751.166666667,5,5.555555555555555
162,2,7,941501.166666667,2,2.2222222222222223
163,1,8,946217.766666667,8,8.88888888888889
163,2,3,946967.733333333,4,4.444444444444445
164,1,4,951217.666666667,4,4.444444444444445
164,2,6,951984.333333333,7,7.777777777777778
165,1,5,956534.266666667,6,6.666666666666666
165,2,5,957284.233333333,4,4.444444444444445
166,1,6,962184.166666667,2,2.2222222222222223
167,1,3,966200.766666667,5,5.555555555555555
167,2,4,966950.733333333,5,5.555555555555555
168,1,9,972417.333333333,5,5.555555555555555
168,2,8,973167.3,6,6.666666666666666
169,1,1,978150.566666667,6,6.666666666666666
169,2,8,978900.566666667,7,7.777777777777778
