trial_index,operand,number,TC1,TC2
159.0,2.0,3,-0.08040310261052583,-1.6962676842766433
160.0,1.0,9,1.2870063205747089,-0.8750038371497579
161.0,1.0,8,0.7191381859892471,-1.382474155084462
161.0,2.0,9,0.46641086722502706,1.2375102377287517
162.0,1.0,4,0.10326235277184417,-0.5263111431183929
162.0,2.0,2,-0.9474972365092504,-1.50839402862994
163.0,1.0,5,0.5713072902973788,-1.1789943690556595
163.0,2.0,4,2.885466039415202,-0.014214006989791821
164.0,1.0,7,-0.5662914493420756,0.5036285980150345
164.0,2.0,1,-1.5998528717161051,-0.03266275559289493
165.0,1.0,3,0.6029985219889096,-0.19661718983040943
166.0,2.0,3,-0.783707786019795,1.1982785484093743
167.0,1.0,7,0.10115162045977258,-0.9068732706068479
168.0,1.0,4,0.7528620133676771,-0.3895999553858643
168.0,2.0,2,-0.1633471868134558,-1.718628414161157
169.0,1.0,6,0.9199627399660961,0.048241364469852235
170.0,2.0,2,1.2870063205747089,-0.8750038371497579
171.0,1.0,8,0.21875677447323155,0.28083647988558313
171.0,2.0,5,0.116542859363751,-0.38284535588344937
172.0,1.0,3,-1.8016026537293859,1.406660148702213
172.0,2.0,3,-1.1679224796185539,-1.181748473125821
173.0,2.0,9,-0.39829254862414415,0.9289121852725172
175.0,2.0,5,2.0150712091715755,2.3893699882171964
176.0,1.0,1,-0.967412309714751,-0.15671054625643005
176.0,2.0,6,0.4853933679754507,-1.3843269403228404
177.0,1.0,8,1.0345980558605568,1.0529792735796164
177.0,2.0,4,0.2845026917690964,-0.14259432213352075
178.0,1.0,8,1.5005666594095843,1.3024453484302112
178.0,2.0,4,-1.782900138716444,-0.3381431937579862
179.0,2.0,6,-2.8849125805089377,-0.3602096299287965
180.0,1.0,9,1.117262154326005,1.9523738390555232
180.0,2.0,4,0.020003884495868013,-0.9543494656878297
181.0,1.0,2,0.5861147391548907,-0.23673112904910384
181.0,2.0,2,0.5514656837400286,1.6404330951017205
182.0,1.0,2,-0.1992088004208766,-0.23458405009702193
182.0,2.0,9,0.6844500622617989,0.30965751555880844
183.0,1.0,8,0.8186469989761281,-0.6279982038974143
183.0,2.0,3,-0.36454166732879484,-0.9356943062800733
184.0,2.0,7,-0.9474972365092504,-1.50839402862994
185.0,1.0,7,0.3348964384735691,-0.9050204853684694
185.0,2.0,5,-0.16544590472986045,0.9433227031091297
186.0,1.0,7,-0.9836732341897173,-0.43002725725072793
186.0,2.0,9,0.36658767016509985,0.07735669385678086
187.0,2.0,3,0.9133731514521276,2.772981144731309
189.0,1.0,3,0.5007846068794289,-0.8602990255994419
189.0,2.0,8,1.5198529644689927,-0.8605933193131453
190.0,1.0,2,-0.8518444213652131,2.1181810585314165
190.0,2.0,8,0.3849593269521377,0.7312355323395339
191.0,1.0,4,0.9019054672521044,-0.19995988132797748
191.0,2.0,3,-1.3000477523333978,-0.04856317968869704
192.0,1.0,2,0.18589205290172808,-0.9096280059188023
192.0,2.0,2,0.1346001320777427,-0.1346441100856196
193.0,1.0,1,-0.5653932752225629,0.49107086541680034
193.0,2.0,1,1.3506640997182306,1.3103955604781121
194.0,1.0,7,0.2691505211777042,-0.4815896833493655
194.0,2.0,2,0.003714471472376833,-1.4658196478129941
195.0,1.0,3,-1.3145408171178634,-0.5851488270103297
195.0,2.0,2,-0.5991561709135792,-0.6868358877893511
196.0,1.0,1,0.8189613830491743,-0.22232061121249116
196.0,2.0,5,0.1023641786523313,-0.5137534105201589
197.0,2.0,9,-0.7321405494353497,0.643939691753561
198.0,1.0,5,0.48629154209496345,-1.3968846729210744
198.0,2.0,8,-0.14764156383643132,-0.7889229067528353
199.0,1.0,9,-0.7668016192458786,-0.5214093288543566
199.0,2.0,2,0.9019054672521044,-0.19995988132797748
200.0,2.0,4,-0.12989867519548567,-0.9463992536399286
