neuron_id,n_presentations,n_folds,fr_accuracy,shuffle_mean_accuracy,n_extreme,p_value,fr_coding,subject,region,paper_unit,n_valid_shuffles
35,114,4,0.07894736842105263,0.0993421052631579,155.0,0.7761194029850746,False,YFL,hpc,36,200.0
36,114,4,0.07894736842105263,0.10789473684210525,170.0,0.8507462686567164,False,YFL,hpc,37,200.0
37,114,4,0.10526315789473684,0.10763157894736841,110.0,0.5522388059701493,False,YFL,hpc,38,200.0
38,114,4,0.14035087719298245,0.10324561403508771,27.0,0.13930348258706468,False,YFL,hpc,39,200.0
39,114,4,0.07017543859649122,0.10017543859649124,174.0,0.8706467661691543,False,YFL,hpc,40,200.0
58,114,4,0.11403508771929824,0.10241228070175439,75.0,0.3781094527363184,False,YFL,hpc,59,200.0
59,114,4,0.10526315789473684,0.09267543859649123,71.0,0.3582089552238806,False,YFL,hpc,60,200.0
60,114,4,0.11403508771929824,0.10298245614035087,66.0,0.3333333333333333,False,YFL,hpc,61,200.0
61,114,4,0.08771929824561403,0.10342105263157894,144.0,0.7213930348258707,False,YFL,hpc,62,200.0
62,114,4,0.07894736842105263,0.10232456140350876,159.0,0.7960199004975125,False,YFL,hpc,63,200.0
63,114,4,0.10526315789473684,0.1013157894736842,94.0,0.472636815920398,False,YFL,hpc,64,200.0
64,114,4,0.07017543859649122,0.10403508771929823,190.0,0.9502487562189055,False,YFL,hpc,65,200.0
65,114,4,0.11403508771929824,0.09912280701754388,73.0,0.3681592039800995,False,YFL,hpc,66,200.0
66,114,4,0.12280701754385964,0.09986842105263158,49.0,0.24875621890547264,False,YFL,hpc,67,200.0
67,114,4,0.05263157894736842,0.10149122807017545,196.0,0.9800995024875622,False,YFL,hpc,68,200.0
68,114,4,0.09649122807017543,0.10026315789473685,124.0,0.6218905472636815,False,YFL,hpc,69,200.0
69,114,4,0.03508771929824561,0.10114035087719297,197.0,0.9850746268656716,False,YFL,hpc,70,200.0
70,114,4,0.12280701754385964,0.10600877192982455,66.0,0.3333333333333333,False,YFL,hpc,71,200.0
71,114,4,0.15789473684210525,0.10403508771929826,16.0,0.0845771144278607,False,YFL,hpc,72,200.0
72,114,4,0.11403508771929824,0.10043859649122806,71.0,0.3582089552238806,False,YFL,hpc,73,200.0
73,114,4,0.12280701754385964,0.10491228070175439,64.0,0.32338308457711445,False,YFL,hpc,74,200.0
74,114,4,0.03508771929824561,0.10464912280701753,199.0,0.9950248756218906,False,YFL,hpc,75,200.0
75,114,4,0.11403508771929824,0.10434210526315789,75.0,0.3781094527363184,False,YFL,hpc,76,200.0
76,114,4,0.08771929824561403,0.10114035087719297,148.0,0.7412935323383084,False,YFL,hpc,77,200.0
77,114,4,0.10526315789473684,0.10508771929824562,108.0,0.5422885572139303,False,YFL,hpc,78,200.0
78,114,4,0.07894736842105263,0.1025,161.0,0.8059701492537313,False,YFL,hpc,79,200.0
79,114,4,0.12280701754385964,0.10276315789473683,63.0,0.31840796019900497,False,YFL,ent,80,200.0
80,114,4,0.12280701754385964,0.10495614035087719,67.0,0.3383084577114428,False,YFL,ent,81,200.0
81,114,4,0.07894736842105263,0.09184210526315788,133.0,0.6666666666666666,False,YFL,ent,82,200.0
82,114,4,0.16666666666666666,0.10903508771929825,11.0,0.05970149253731343,False,YFL,ent,83,200.0
83,114,4,0.09649122807017543,0.10236842105263158,115.0,0.5771144278606966,False,YFL,ent,84,200.0
84,114,4,0.09649122807017543,0.1037280701754386,124.0,0.6218905472636815,False,YFL,ent,85,200.0
85,114,4,0.10526315789473684,0.1044736842105263,113.0,0.5671641791044776,False,YFL,ent,86,200.0
86,114,4,0.07017543859649122,0.1012719298245614,182.0,0.9104477611940298,False,YFL,ent,87,200.0
87,114,4,0.11403508771929824,0.10289473684210526,76.0,0.38308457711442784,False,YFL,ent,88,200.0
88,114,4,0.09649122807017543,0.09710526315789472,106.0,0.5323383084577115,False,YFL,ent,89,200.0
89,114,4,0.13157894736842105,0.10210526315789473,40.0,0.20398009950248755,False,YFL,ent,90,200.0
90,114,4,0.08771929824561403,0.10359649122807017,137.0,0.6865671641791045,False,YFL,ent,91,200.0
91,114,4,0.06140350877192982,0.10109649122807017,188.0,0.9402985074626866,False,YFL,ent,92,200.0
92,114,4,0.10526315789473684,0.10872807017543859,119.0,0.5970149253731343,False,YFL,ent,93,200.0
93,114,4,0.08771929824561403,0.1037280701754386,147.0,0.736318407960199,False,YFL,ent,94,200.0
15,114,4,0.07017543859649122,0.10302631578947369,179.0,0.8955223880597015,False,YFM,hpc,16,200.0
16,114,4,0.07894736842105263,0.10293859649122807,163.0,0.8159203980099502,False,YFM,hpc,17,200.0
17,114,4,0.07017543859649122,0.09675438596491226,167.0,0.835820895522388,False,YFM,hpc,18,200.0
18,114,4,0.08771929824561403,0.09666666666666666,130.0,0.6517412935323383,False,YFM,hpc,19,200.0
19,114,4,0.10526315789473684,0.10052631578947366,90.0,0.4527363184079602,False,YFM,hpc,20,200.0
