Subject,Region,Neuron,IsTuned
YFM,ent,43,1
YFM,ent,44,0
YFM,ent,45,0
YFM,ent,46,0
YFM,ent,47,0
YFM,ent,48,1
YFM,ent,49,0
YFM,hpc,61,0
YFM,hpc,62,0
YFM,hpc,63,0
YFM,hpc,64,1
YFM,hpc,65,1
YFM,hpc,66,0
YFM,hpc,67,0
YFM,hpc,68,0
YFM,hpc,69,0
YFM,hpc,70,0
YFM,hpc,71,0
YFM,hpc,72,0
YFM,hpc,73,0
YFM,hpc,74,1
YFM,hpc,75,0
YFM,hpc,76,0
YFM,hpc,77,0
YFM,hpc,78,0
YFM,hpc,79,0
YFM,hpc,80,1
YFM,hpc,81,0
YFM,ent,82,0
YFM,ent,83,0
YFM,ent,84,0
YFM,ent,85,1
YFM,ent,86,0
YFM,ent,87,0
YFM,ent,88,0
YFM,ent,89,0
YFM,ent,90,0
YFM,ent,91,1
YFM,ent,92,1
YFM,ent,93,0
YFP,hpc,29,0
YFP,hpc,30,1
YFP,hpc,31,0
YFP,hpc,32,0
YFP,hpc,33,0
YFP,hpc,34,1
YFP,hpc,35,1
YFP,hpc,36,0
YFP,hpc,37,0
YFP,hpc,38,1
YFP,hpc,39,0
YFP,hpc,40,0
YFP,hpc,41,0
YFP,hpc,42,0
YFP,hpc,43,0
YFP,hpc,44,0
YFP,hpc,45,0
YFP,hpc,46,0
YFP,hpc,73,1
YFP,hpc,74,0
YFP,hpc,75,0
YFP,hpc,76,0
YFP,hpc,77,0
YFP,hpc,78,0
YFP,hpc,79,1
YFP,hpc,80,0
YFP,hpc,81,0
YFP,hpc,82,0
YFP,hpc,83,0
YFP,hpc,84,0
YFP,hpc,85,1
YFP,hpc,86,0
YFP,hpc,87,0
YFP,hpc,88,0
YFP,hpc,89,0
YFP,hpc,90,1
YFP,hpc,91,0
YFP,hpc,92,1
YFP,hpc,93,1
YFP,hpc,94,0
YFP,hpc,95,0
YFP,hpc,96,0
YFP,hpc,97,0
YFR,hpc,0,0
YFR,hpc,1,1
YFR,hpc,2,0
YFR,hpc,3,0
YFR,hpc,4,0
YFR,hpc,5,1
YFR,hpc,6,0
YFR,hpc,7,0
YFR,hpc,8,0
YFR,hpc,9,0
YFR,hpc,10,0
YFR,hpc,11,0
YFR,hpc,12,0
YFR,hpc,13,0
YFR,hpc,14,0
YFR,hpc,15,0
YFR,hpc,16,0
YFR,hpc,17,1
YFR,hpc,18,0
YFR,hpc,19,1
YFR,hpc,20,1
YFR,hpc,21,1
YFR,hpc,22,1
YFR,hpc,23,0
YFR,amy,24,0
YFR,amy,25,0
YFR,amy,26,0
YFR,amy,27,1
YFR,amy,28,0
YFR,amy,29,0
YFR,amy,30,0
YFR,amy,31,1
YFR,amy,32,0
YFR,amy,33,1
YFR,amy,34,0
YFR,amy,35,1
YFR,amy,36,0
YFR,amy,37,1
YFR,amy,38,0
YFR,amy,39,0
YFR,amy,45,1
YFR,amy,46,1
YFR,amy,47,0
YFR,amy,48,0
YFR,amy,49,0
YFR,amy,50,0
YFR,amy,51,0
YFR,amy,52,0
YFR,hpc,53,0
YFR,hpc,54,0
YFR,hpc,55,0
YFR,hpc,56,0
YFR,hpc,57,0
YFR,hpc,58,1
YFR,hpc,59,0
YFR,hpc,60,0
YFR,hpc,61,0
YFR,hpc,62,0
YFR,hpc,63,0
YFR,hpc,64,1
YFR,hpc,65,0
YFR,hpc,66,1
YFR,hpc,67,0
YFR,hpc,68,0
YFR,hpc,69,0
YFS,amy,26,0
YFS,amy,27,0
YFS,amy,28,0
YFS,amy,29,0
YFS,amy,30,1
YFS,amy,31,0
YFS,amy,32,0
YFS,amy,33,1
YFS,amy,34,1
YFS,amy,35,0
YFS,amy,36,1
YFS,hpc,37,0
YFS,hpc,38,1
YFS,hpc,39,0
YFS,hpc,40,0
YFS,hpc,41,0
YFS,hpc,42,0
YFS,hpc,43,0
YFS,hpc,44,1
YFS,hpc,45,1
YFS,hpc,46,1
YFS,hpc,47,0
YFS,hpc,48,1
YFS,hpc,49,0
YFS,hpc,50,0
YFS,hpc,51,0
YFS,hpc,52,1
YFS,hpc,53,0
YFS,hpc,54,1
YFS,hpc,55,1
YFS,hpc,56,0
YFS,hpc,57,1
YFS,hpc,58,0
YFS,hpc,59,0
YFS,hpc,60,1
YFS,hpc,61,0
YFS,hpc,62,0
YFS,hpc,74,1
YFS,hpc,75,0
YFS,hpc,76,1
YFS,hpc,77,1
YFS,hpc,78,0
YFS,hpc,79,0
YFS,hpc,80,1
YFS,hpc,81,0
YFS,hpc,82,0
YFS,hpc,83,0
YFS,hpc,84,0
YFS,amy,85,0
YFS,amy,86,0
YFS,amy,87,0
YFS,amy,88,0
YFS,amy,89,0
YFS,amy,90,0
YFS,amy,91,0
YFS,amy,92,1
YFS,amy,93,0
YFS,amy,94,1
YFS,amy,95,1
YFT,ent,9,1
YFT,ent,10,0
YFT,ent,11,1
YFT,ent,12,1
YFT,ent,13,0
YFT,ent,14,0
YFT,ent,15,1
YFT,ent,16,0
YFT,hpc,17,1
YFT,hpc,18,1
YFT,hpc,19,0
YFT,hpc,20,0
YFT,hpc,21,0
YFT,hpc,22,0
YFT,hpc,23,0
YFT,hpc,24,1
YFT,hpc,25,0
YFT,hpc,26,0
YFT,hpc,27,0
YFT,hpc,28,0
YFT,hpc,29,0
YFT,hpc,30,0
YFT,hpc,31,0
YFT,amy,32,1
YFT,amy,33,1
YFT,amy,34,0
YFT,amy,35,0
YFT,amy,36,0
YFT,amy,37,0
YFT,amy,38,0
YFT,amy,39,1
YFT,hpc,40,0
YFT,hpc,41,0
YFT,hpc,42,1
YFT,hpc,43,0
YFT,hpc,44,0
YFT,hpc,45,1
YFT,hpc,46,1
YFT,hpc,47,0
YFT,hpc,48,0
YFT,hpc,49,1
YFT,hpc,50,1
YFT,hpc,51,0
YFT,ent,69,0
YFT,ent,70,0
YFT,ent,71,0
YFT,ent,72,0
YFT,ent,73,0
YFT,ent,74,1
YFT,ent,75,0
YFT,ent,76,0
YFT,ent,77,0
YFU,amy,0,0
YFU,amy,1,1
YFU,amy,2,0
YFU,amy,3,0
YFU,amy,4,0
YFU,amy,5,0
YFU,amy,6,0
YFU,amy,7,0
YFU,amy,8,0
YFU,amy,9,0
YFU,amy,10,0
YFU,amy,11,0
YFU,hpc,20,0
