trial_index,operand,number,onset_ms,spike_count,firing_rate_hz
88,1,7,759231.433333333,18,20.0
88,2,7,759981.433333333,27,30.0
89,1,6,764764.666666667,25,27.77777777777778
89,2,9,765514.666666667,11,12.222222222222221
90,1,5,773631.2,19,21.11111111111111
90,2,1,774381.166666667,15,16.666666666666668
91,1,1,779447.766666667,9,10.0
91,2,8,780197.766666667,14,15.555555555555555
92,1,2,786964.3,14,15.555555555555555
93,1,7,796097.466666667,18,20.0
94,1,6,801180.733333333,28,31.11111111111111
94,2,3,801930.7,12,13.333333333333332
95,1,1,807613.966666667,17,18.88888888888889
95,2,5,808363.933333333,19,21.11111111111111
96,1,9,813063.866666667,16,17.77777777777778
96,2,2,813797.166666667,26,28.88888888888889
97,1,3,821247.066666667,30,33.333333333333336
97,2,4,821997.033333333,14,15.555555555555555
98,1,9,828330.266666667,32,35.55555555555556
98,2,5,829080.266666667,12,13.333333333333332
99,1,6,836730.133333333,17,18.88888888888889
99,2,8,837480.1,23,25.555555555555554
100,2,8,847346.6,14,15.555555555555555
101,1,9,862379.7,25,27.77777777777778
101,2,6,863129.666666667,24,26.666666666666664
102,1,6,873896.166666667,13,14.444444444444445
102,2,6,874646.133333333,14,15.555555555555555
103,1,9,878279.433333333,14,15.555555555555555
103,2,5,879029.4,31,34.44444444444444
104,1,4,886312.6,20,22.22222222222222
104,2,8,887062.6,17,18.88888888888889
105,1,9,893312.5,24,26.666666666666664
105,2,7,894062.466666667,17,18.88888888888889
106,1,3,907512.266666667,21,23.333333333333332
106,2,1,908262.233333333,23,25.555555555555554
107,1,6,913845.466666667,19,21.11111111111111
107,2,6,914595.466666667,21,23.333333333333332
108,1,3,918445.4,16,17.77777777777778
108,2,5,919178.7,15,16.666666666666668
109,1,2,926345.266666667,18,20.0
109,2,8,927095.233333333,7,7.777777777777778
110,1,7,934495.133333333,21,23.333333333333332
110,2,1,935245.1,20,22.22222222222222
111,1,5,947644.9,18,20.0
111,2,6,948394.9,17,18.88888888888889
112,1,1,955061.433333333,22,24.444444444444443
112,2,2,955811.433333333,18,20.0
113,1,2,964294.633333333,23,25.555555555555554
113,2,3,965044.6,28,31.11111111111111
114,1,4,971111.166666667,23,25.555555555555554
114,2,4,971861.166666667,22,24.444444444444443
115,1,7,977694.4,16,17.77777777777778
116,1,3,987510.9,13,14.444444444444445
116,2,5,988260.866666667,13,14.444444444444445
117,1,5,996027.4,13,14.444444444444445
117,2,8,996794.066666667,15,16.666666666666668
118,1,3,1005143.93333333,20,22.22222222222222
119,1,7,1015210.43333333,16,17.77777777777778
119,2,9,1015960.4,14,15.555555555555555
120,1,3,1021893.63333333,23,25.555555555555554
120,2,3,1022643.63333333,12,13.333333333333332
121,1,3,1033693.43333333,14,15.555555555555555
121,2,9,1034443.43333333,19,21.11111111111111
122,1,7,1045093.23333333,11,12.222222222222221
122,2,7,1045843.23333333,13,14.444444444444445
123,1,7,1050576.46666667,17,18.88888888888889
124,1,1,1055376.4,14,15.555555555555555
124,2,9,1056126.36666667,18,20.0
125,1,1,1060776.3,14,15.555555555555555
126,1,1,1067492.86666667,9,10.0
126,2,7,1068242.83333333,16,17.77777777777778
127,1,5,1072592.76666667,23,25.555555555555554
127,2,1,1073342.76666667,18,20.0
129,1,7,1082759.26666667,19,21.11111111111111
129,2,7,1083509.26666667,22,24.444444444444443
130,2,6,1088859.16666667,21,23.333333333333332
131,1,1,1093275.76666667,20,22.22222222222222
131,2,7,1094025.73333333,22,24.444444444444443
132,1,2,1100508.96666667,24,26.666666666666664
132,2,2,1101258.93333333,20,22.22222222222222
133,1,2,1108925.5,12,13.333333333333332
133,2,2,1109675.46666667,18,20.0
134,1,3,1114208.73333333,23,25.555555555555554
135,1,1,1119258.63333333,26,28.88888888888889
135,2,1,1120008.63333333,20,22.22222222222222
136,1,3,1123858.56666667,24,26.666666666666664
137,2,4,1131075.1,23,25.555555555555554
