subject,neuron,region_raw,best_bin_ms,best_gamma,fr_accuracy,temporal_accuracy,accuracy_improvement
YFJ,45,hpc,450.0,0.2,0.07017543859649122,0.10526315789473684,0.03508771929824561
YFJ,46,hpc,90.0,0.2,0.07894736842105263,0.17543859649122806,0.09649122807017543
YFJ,47,hpc,225.0,0.5,0.10526315789473684,0.15789473684210525,0.05263157894736842
YFJ,48,hpc,225.0,0.8,0.12280701754385964,0.18421052631578946,0.06140350877192982
YFJ,49,hpc,900.0,0.2,0.18421052631578946,0.18421052631578946,0.0
YFJ,50,hpc,150.0,0.5,0.10526315789473684,0.15789473684210525,0.05263157894736842
YFJ,51,hpc,150.0,0.2,0.08771929824561403,0.13157894736842105,0.043859649122807015
YFJ,52,hpc,90.0,0.5,0.05263157894736842,0.14912280701754385,0.09649122807017543
YFJ,53,hpc,75.0,0.2,0.03508771929824561,0.05263157894736842,0.017543859649122806
YFJ,54,hpc,90.0,0.2,0.10526315789473684,0.14912280701754385,0.043859649122807015
YFJ,55,hpc,90.0,0.5,0.05263157894736842,0.14035087719298245,0.08771929824561403
YFJ,56,hpc,75.0,0.2,0.05263157894736842,0.13157894736842105,0.07894736842105263
YFJ,57,hpc,100.0,0.8,0.17543859649122806,0.19298245614035087,0.017543859649122806
YFJ,58,hpc,100.0,0.2,0.05263157894736842,0.14035087719298245,0.08771929824561403
YFJ,59,hpc,90.0,0.5,0.08771929824561403,0.14035087719298245,0.05263157894736842
YFJ,60,hpc,75.0,0.5,0.10526315789473684,0.18421052631578946,0.07894736842105263
YFJ,61,hpc,75.0,0.5,0.07894736842105263,0.15789473684210525,0.07894736842105263
YFK,24,hpc,90.0,0.8,0.11403508771929824,0.16666666666666666,0.05263157894736842
YFK,25,hpc,60.0,0.8,0.07894736842105263,0.14035087719298245,0.06140350877192982
YFK,26,hpc,100.0,0.8,0.13157894736842105,0.23684210526315788,0.10526315789473684
YFK,27,hpc,60.0,0.2,0.16666666666666666,0.16666666666666666,0.0
