subject,neuron,region_raw,region,fr_accuracy,permutation_p,n_perm_equal_or_better,coding,valid,invalid_reason
YFK,31,hpc,HPC,0.14035087719298245,0.09950248756218906,19.0,False,True,
YFK,32,hpc,HPC,0.07894736842105263,0.7412935323383084,148.0,False,True,
YFK,33,hpc,HPC,0.11403508771929824,0.42786069651741293,85.0,False,True,
YFK,34,para-hpc,PARA-HPC,0.13157894736842105,0.21890547263681592,43.0,False,True,
YFK,35,para-hpc,PARA-HPC,0.05263157894736842,0.9701492537313433,194.0,False,True,
YFK,36,para-hpc,PARA-HPC,0.15789473684210525,0.07960199004975124,15.0,False,True,
YFK,37,para-hpc,PARA-HPC,0.14912280701754385,0.11940298507462686,23.0,False,True,
YFK,38,para-hpc,PARA-HPC,0.14035087719298245,0.14427860696517414,28.0,False,True,
YFK,39,para-hpc,PARA-HPC,0.03508771929824561,0.9900497512437811,198.0,False,True,
YFK,40,para-hpc,PARA-HPC,0.13157894736842105,0.20398009950248755,40.0,False,True,
YFK,41,para-hpc,PARA-HPC,0.08771929824561403,0.7661691542288557,153.0,False,True,
YFK,42,para-hpc,PARA-HPC,0.12280701754385964,0.3034825870646766,60.0,False,True,
YFK,43,para-hpc,PARA-HPC,0.14035087719298245,0.13930348258706468,27.0,False,True,
YFK,44,para-hpc,PARA-HPC,0.06140350877192982,0.945273631840796,189.0,False,True,
YFK,45,para-hpc,PARA-HPC,0.11403508771929824,0.4079601990049751,81.0,False,True,
YFK,46,para-hpc,PARA-HPC,0.043859649122807015,1.0,200.0,False,True,
YFK,47,hpc,HPC,0.11403508771929824,0.44776119402985076,89.0,False,True,
YFK,48,hpc,HPC,0.07894736842105263,0.8308457711442786,166.0,False,True,
YFK,49,hpc,HPC,0.11403508771929824,0.4129353233830846,82.0,False,True,
YFK,50,hpc,HPC,0.08771929824561403,0.5870646766169154,117.0,False,True,
YFK,51,hpc,HPC,0.11403508771929824,0.40298507462686567,80.0,False,True,
YFK,52,hpc,HPC,0.14912280701754385,0.0945273631840796,18.0,False,True,
YFK,53,hpc,HPC,0.11403508771929824,0.3383084577114428,67.0,False,True,
YFK,54,hpc,HPC,0.11403508771929824,0.34328358208955223,68.0,False,True,
YFK,55,hpc,HPC,0.16666666666666666,0.04975124378109453,9.0,True,True,
