neuron_id,paper_unit,region,op1_accuracy,op1_bin,op1_gamma,op1_p,op1_tuned,op2_accuracy,op2_bin,op2_gamma,op2_p,op2_tuned
25,26,hpc,0.13114754098360656,225,0.8,0.23383084577114427,False,0.172,300,0.5,0.009950248756218905,True
26,27,hpc,0.16393442622950818,180,0.8,0.024875621890547265,True,0.168,60,0.2,0.024875621890547265,True
27,28,hpc,0.1598360655737705,450,0.2,0.03482587064676617,True,0.132,90,0.5,0.17412935323383086,False
28,29,hpc,0.12295081967213115,180,0.2,0.3034825870646766,False,0.136,300,0.2,0.13930348258706468,False
29,30,hpc,0.15163934426229508,75,0.2,0.04975124378109453,True,0.152,900,0.2,0.03980099502487562,True
30,31,hpc,0.18032786885245902,900,0.2,0.004975124378109453,True,0.136,900,0.2,0.13432835820895522,False
31,32,hpc,0.14754098360655737,100,0.2,0.07960199004975124,False,0.116,75,0.5,0.3482587064676617,False
32,33,hpc,0.15163934426229508,180,0.8,0.05970149253731343,False,0.136,300,0.8,0.15920398009950248,False
33,34,hpc,0.1680327868852459,180,0.2,0.004975124378109453,True,0.168,60,0.8,0.004975124378109453,True
34,35,hpc,0.12704918032786885,225,0.2,0.23880597014925373,False,0.124,180,0.2,0.31343283582089554,False
35,36,hpc,0.13524590163934427,90,0.2,0.15422885572139303,False,0.164,450,0.2,0.01990049751243781,True
36,37,hpc,0.16393442622950818,900,0.2,0.01990049751243781,True,0.132,100,0.8,0.15422885572139303,False
37,38,hpc,0.12704918032786885,300,0.8,0.2885572139303483,False,0.128,60,0.2,0.25870646766169153,False
38,39,hpc,0.1680327868852459,180,0.8,0.014925373134328358,True,0.152,900,0.2,0.03980099502487562,True
39,40,hpc,0.09836065573770492,90,0.8,0.7661691542288557,False,0.152,60,0.2,0.07960199004975124,False
40,41,hpc,0.11475409836065574,60,0.8,0.42786069651741293,False,0.12,100,0.2,0.39303482587064675,False
41,42,hpc,0.14344262295081966,300,0.2,0.11940298507462686,False,0.128,60,0.2,0.29850746268656714,False
42,43,hpc,0.11475409836065574,150,0.2,0.4427860696517413,False,0.14,150,0.8,0.12437810945273632,False
43,44,amy,0.1680327868852459,225,0.2,0.029850746268656716,True,0.144,450,0.2,0.10945273631840796,False
44,45,amy,0.13934426229508196,450,0.5,0.07960199004975124,False,0.144,100,0.8,0.0945273631840796,False
45,46,amy,0.11475409836065574,225,0.2,0.4626865671641791,False,0.14,150,0.5,0.13432835820895522,False
46,47,amy,0.1557377049180328,90,0.5,0.03980099502487562,True,0.144,450,0.2,0.09950248756218906,False
47,48,amy,0.1598360655737705,90,0.2,0.03482587064676617,True,0.136,180,0.2,0.19900497512437812,False
48,49,amy,0.14754098360655737,225,0.2,0.04975124378109453,True,0.152,300,0.2,0.04975124378109453,True
49,50,amy,0.13114754098360656,90,0.8,0.23880597014925373,False,0.144,180,0.5,0.06965174129353234,False
50,51,amy,0.15163934426229508,60,0.8,0.06467661691542288,False,0.144,100,0.5,0.11442786069651742,False
51,52,amy,0.15163934426229508,300,0.2,0.07960199004975124,False,0.152,300,0.2,0.04975124378109453,True
52,53,amy,0.1557377049180328,60,0.5,0.03980099502487562,True,0.188,75,0.2,0.009950248756218905,True
53,54,amy,0.16393442622950818,90,0.5,0.014925373134328358,True,0.152,180,0.5,0.05472636815920398,False
54,55,hpc,0.19672131147540983,150,0.2,0.004975124378109453,True,0.128,180,0.2,0.24378109452736318,False
55,56,hpc,0.1598360655737705,75,0.8,0.029850746268656716,True,0.112,150,0.2,0.4925373134328358,False
56,57,hpc,0.14754098360655737,75,0.2,0.07462686567164178,False,0.176,90,0.5,0.004975124378109453,True
57,58,hpc,0.12704918032786885,100,0.8,0.263681592039801,False,0.136,60,0.5,0.1890547263681592,False
58,59,hpc,0.11065573770491803,90,0.2,0.5124378109452736,False,0.136,180,0.2,0.10945273631840796,False
59,60,hpc,0.11475409836065574,300,0.8,0.46766169154228854,False,0.136,90,0.5,0.14925373134328357,False
60,61,hpc,0.12295081967213115,225,0.8,0.2885572139303483,False,0.12,300,0.8,0.3482587064676617,False
61,62,hpc,0.14344262295081966,150,0.8,0.14427860696517414,False,0.148,180,0.5,0.06467661691542288,False
62,63,hpc,0.13114754098360656,150,0.5,0.27860696517412936,False,0.148,75,0.2,0.03980099502487562,True
63,64,hpc,0.1680327868852459,300,0.8,0.009950248756218905,True,0.128,225,0.8,0.24875621890547264,False
64,65,hpc,0.15163934426229508,75,0.5,0.03482587064676617,True,0.116,150,0.5,0.43781094527363185,False
65,66,hpc,0.13524590163934427,60,0.2,0.17412935323383086,False,0.144,75,0.8,0.07462686567164178,False
66,67,hpc,0.10655737704918032,180,0.5,0.5124378109452736,False,0.16,100,0.5,0.03482587064676617,True
67,68,hpc,0.15163934426229508,75,0.8,0.05970149253731343,False,0.164,225,0.5,0.024875621890547265,True
68,69,hpc,0.14344262295081966,60,0.2,0.08955223880597014,False,0.128,75,0.5,0.263681592039801,False
69,70,hpc,0.14344262295081966,300,0.5,0.05472636815920398,False,0.188,90,0.5,0.004975124378109453,True
