subject,neuron,best_bin_ms,best_gamma,overall_accuracy,max_class_accuracy,n_tied_preferred,preferred_numbers,has_tie,valid,preferred_number
YFS,44,225,0.8,0.15151515151515152,0.4583333333333333,1,3,False,True,3.0
YFS,45,60,0.5,0.1590909090909091,0.2962962962962963,1,7,False,True,7.0
YFS,46,90,0.2,0.16666666666666666,0.2916666666666667,1,3,False,True,3.0
YFS,48,300,0.2,0.15151515151515152,0.4482758620689655,1,9,False,True,9.0
YFS,52,60,0.5,0.18181818181818182,0.30303030303030304,1,2,False,True,2.0
YFS,54,450,0.8,0.1553030303030303,0.42424242424242425,1,2,False,True,2.0
YFS,55,100,0.8,0.1553030303030303,0.875,1,5,False,True,5.0
YFS,57,90,0.8,0.1553030303030303,0.34375,1,1,False,True,1.0
YFS,60,225,0.2,0.15151515151515152,0.3448275862068966,1,9,False,True,9.0
YFS,74,60,0.8,0.15151515151515152,0.2962962962962963,1,7,False,True,7.0
YFS,76,450,0.8,0.1590909090909091,0.36666666666666664,1,8,False,True,8.0
YFS,77,75,0.2,0.16287878787878787,0.375,1,6,False,True,6.0
YFS,80,100,0.5,0.17803030303030304,0.4074074074074074,1,7,False,True,7.0
YFS,92,60,0.2,0.15151515151515152,0.8333333333333334,1,8,False,True,8.0
YFS,94,300,0.8,0.17424242424242425,0.42424242424242425,1,2,False,True,2.0
YFS,95,100,0.8,0.16287878787878787,0.5185185185185185,1,7,False,True,7.0
YFT,9,450,0.2,0.13836477987421383,0.7321428571428571,1,9,False,True,9.0
YFT,11,90,0.8,0.14465408805031446,0.8387096774193549,1,1,False,True,1.0
YFT,12,450,0.2,0.15513626834381553,0.6451612903225806,1,1,False,True,1.0
YFT,15,150,0.2,0.14465408805031446,0.627906976744186,1,7,False,True,7.0
YFT,17,450,0.2,0.14675052410901468,0.5892857142857143,1,9,False,True,9.0
YFT,18,150,0.2,0.1320754716981132,0.9821428571428571,1,6,False,True,6.0
YFT,24,75,0.5,0.14465408805031446,0.8214285714285714,1,9,False,True,9.0
YFT,32,90,0.5,0.16142557651991615,0.8392857142857143,1,9,False,True,9.0
YFT,33,180,0.8,0.14255765199161424,0.66,1,8,False,True,8.0
YFT,39,900,0.2,0.14465408805031446,0.6129032258064516,1,1,False,True,1.0
YFT,42,450,0.2,0.1509433962264151,0.3684210526315789,1,4,False,True,4.0
YFT,45,150,0.2,0.14465408805031446,0.2982456140350877,1,4,False,True,4.0
YFT,46,450,0.2,0.14675052410901468,0.6041666666666666,1,2,False,True,2.0
YFT,49,225,0.2,0.1530398322851153,0.2916666666666667,1,2,False,True,2.0
YFT,50,300,0.2,0.1488469601677149,0.32075471698113206,1,5,False,True,5.0
YFT,74,180,0.2,0.14255765199161424,0.3958333333333333,1,2,False,True,2.0
YFU,1,150,0.8,0.13562753036437247,0.22916666666666666,1,6,False,True,6.0
YFU,21,900,0.2,0.13765182186234817,0.5074626865671642,1,2,False,True,2.0
YFU,27,180,0.2,0.13765182186234817,0.24489795918367346,1,8,False,True,8.0
YFU,29,450,0.2,0.15182186234817813,0.3617021276595745,1,9,False,True,9.0
YFU,30,900,0.2,0.15789473684210525,0.6774193548387096,1,4,False,True,4.0
YFU,31,180,0.8,0.1417004048582996,0.2903225806451613,1,4,False,True,4.0
YFU,32,225,0.5,0.15587044534412955,0.4230769230769231,1,3,False,True,3.0
YFU,33,60,0.8,0.15789473684210525,0.2923076923076923,1,7,False,True,7.0
YFU,38,90,0.8,0.14979757085020243,0.25806451612903225,1,4,False,True,4.0
YFU,39,90,0.2,0.15991902834008098,0.7761194029850746,1,2,False,True,2.0
YFU,42,150,0.5,0.1417004048582996,0.2708333333333333,1,6,False,True,6.0
YFU,43,180,0.5,0.14979757085020243,0.3404255319148936,1,9,False,True,9.0
YFU,48,900,0.2,0.15384615384615385,0.582089552238806,1,2,False,True,2.0
YFU,51,100,0.2,0.14979757085020243,0.3541666666666667,1,6,False,True,6.0
YFU,52,150,0.8,0.1437246963562753,0.2549019607843137,1,5,False,True,5.0
YFU,53,450,0.8,0.14777327935222673,0.5,1,6,False,True,6.0
YFU,54,150,0.8,0.13765182186234817,0.4153846153846154,1,7,False,True,7.0
YFU,56,225,0.2,0.145748987854251,0.425531914893617,1,9,False,True,9.0
YFU,61,150,0.2,0.15991902834008098,0.2765957446808511,1,9,False,True,9.0
YFU,62,900,0.2,0.145748987854251,0.5645161290322581,1,4,False,True,4.0
YFU,67,60,0.8,0.15182186234817813,0.24489795918367346,1,8,False,True,8.0
YFU,68,90,0.8,0.145748987854251,0.2692307692307692,1,3,False,True,3.0
YFU,69,90,0.2,0.1417004048582996,0.2765957446808511,1,9,False,True,9.0
