trial_index,operand,number,TC1,TC2
29.0,2.0,6,-1.285754600101204,0.18212262422029052
30.0,1.0,6,-0.9798661616440905,0.6133695052236192
30.0,2.0,3,-0.17505336389624532,0.835357492958022
31.0,1.0,9,1.0386931359972478,1.1671060385894263
32.0,1.0,4,-0.1031792648392999,0.8229844478384793
32.0,2.0,5,-0.30253287304974413,1.07892393612239
33.0,1.0,5,0.5412125829539423,-0.13197950020007454
33.0,2.0,1,-0.7331022609850106,-1.7101435883472438
34.0,2.0,2,-0.720497506824912,0.5506450142691858
35.0,1.0,7,0.40352245380113355,1.6369799825625788
35.0,2.0,3,1.4072711014612072,0.7899027027639696
36.0,1.0,6,-1.1110254713233323,0.7518716240160251
36.0,2.0,3,1.8618958056668709,-0.44695138009543783
37.0,2.0,3,-0.30253287304974413,1.07892393612239
38.0,1.0,2,-1.2202506476935628,-1.0806821051760598
38.0,2.0,4,-0.8516568165041537,0.6891471330615918
39.0,1.0,3,-0.5392375585734733,-0.5100633499053268
40.0,1.0,5,-0.9092386024632801,-2.052715331859196
40.0,2.0,8,-0.22131352911843633,-1.0182609855349645
41.0,2.0,9,-0.14830770150228684,-2.0451967544661738
42.0,1.0,8,-0.10727682366325884,-0.09520565578258383
42.0,2.0,9,-0.8034177424775989,0.4621595404888111
43.0,1.0,6,-1.325226860375875,0.39206160925321304
43.0,2.0,5,0.32200943084884437,1.3213172524984218
44.0,1.0,3,-0.6132487063172545,-0.5898571195043425
44.0,2.0,2,1.3805642681708974,0.37974124216626637
45.0,1.0,8,-1.045939277213907,-1.3240588846294263
46.0,1.0,2,-1.3573532150169556,0.9818811368677173
46.0,2.0,3,-0.1634355311965376,-0.9172128029240455
47.0,1.0,2,-0.4097975392828514,0.07239349583280996
47.0,2.0,5,-0.6951590571313513,-2.1027319768712274
48.0,1.0,2,0.32200943084884437,1.3213172524984218
48.0,2.0,1,-0.9791363256576526,0.9327135762259599
49.0,1.0,5,-1.3583585351445873,-0.12484840166250766
49.0,2.0,2,0.1808138694124511,-0.0654285311955996
50.0,1.0,2,-1.6495210364802162,-0.3501724393939572
51.0,1.0,7,-2.721881740969708,-0.1987835693529446
51.0,2.0,7,3.2682238745487378,-0.28766721221074426
52.0,2.0,4,0.40352245380113355,1.6369799825625788
53.0,1.0,8,-1.165223668719488,0.7558877657770684
53.0,2.0,4,-0.0021103770133383314,-2.471557738233461
54.0,1.0,7,0.5220770093202768,-0.7623107388462568
54.0,2.0,6,0.6193054237962323,-1.281028201043104
55.0,1.0,8,0.8238837546788811,0.8977786125991172
55.0,2.0,7,0.5346817634803753,1.4984778637701728
56.0,1.0,9,0.912604973818697,-0.9635373485930964
56.0,2.0,1,0.5416144755267084,-1.4658862950140819
57.0,1.0,8,2.3784960666183923,-0.6645671767228633
